[GNV | EN | OT | Joshua | Chapter 19 | Verse 1] And the second lot came out to Simeon, euen for the tribe of the children of Simeon according to their families: and their inheritance was in the middes of the inheritance of the children of Iudah.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 2] Nowe they had in their inheritance, Beersheba, and Sheba, and Moladah,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 3] And Hazur-shual, and Balah, and Azem,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 4] And Eltolad, and Bethul, and Hormah,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 5] And Ziklag, and Beth-marcaboth, and Hazar-susah,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 6] And Beth-lebaoth, and Sharuhen: thirteene cities with their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 7] Ain, Remmon, and Ether, and Ashan: foure cities with their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 8] And all the villages that were round about these cities, vnto Baalathbeer, and Ramath Southward: this is the inheritance of the tribe of the children of Simeon according to their families.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 9] Out of the portion of the children of Iudah came ye inheritance of the childre of Simeon: for the part of ye children of Iudah was too much for them: therefore the children of Simeon had their inheritance within their inheritance.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 10] Also the third lot arose for the children of Zebulun according to their families: and the coastes of their inheritance came to Sarid,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 11] And their border goeth vp Westwarde, euen to Maralah, and reacheth to Dabbasheth, and meeteth with the riuer that lyeth before Iokneam,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 12] And turneth from Sarid Eastward towarde the sunne rising vnto the border of Chisloth-tabor, and goeth out to Daberath, and ascendeth to Iaphia,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 13] And from thence goeth along Eastwarde towarde the sunne rising to Gittah-hepher to Ittah-kazin, and goeth foorth to Rimmon, and turneth to Neah.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 14] And this border compasseth it on ye North side to Hannathon, and the endes thereof are in the valley of Iiphtah-el,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 15] And Kattath, and Nahallal, and Shimron, and Idalah, and Beth-lehem: twelue cities with their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 16] This is the inheritance of the children of Zebulun according to their families: that is, these cities and their villages.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 17] The fourth lot came out to Issachar, euen for the children of Issachar according to their families.
[GNV | EN | OT | Joshua | Chapter 19 | Verse 18] And their coast was Izreelah, and Chesulloth, and Shunem,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 19] And Hapharaim, and Shion, and Anaharath,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 20] And Harabbith, and Kishion, and Abez,
[GNV | EN | OT | Joshua | Chapter 19 | Verse 21] And Remeth, and En-gannim, and Enhaddah, and Beth-pazzez.
