[GNV | EN | OT | Joshua | Chapter 9 | Verse 1] And when all the Kings that were beyonde Iorden, in the mountaines and in the valleis, and by all the coastes of the great Sea ouer against Lebanon (as the Hittites, and the Amorites, the Canaanites, the Perizzites, the Hiuites, and the Iebusites) heard thereof,
[GNV | EN | OT | Joshua | Chapter 9 | Verse 2] They gathered themselues together, to fight against Ioshua, and against Israel with one accord.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 3] But the inhabitants of Gibeon heard what Ioshua had done vnto Iericho, and to Ai.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 4] And therefore they wrought craftily: for they went, and fayned themselues ambassadours, and tooke olde sackes vpon their asses, and olde bottels for wine, both rent and bound vp,
[GNV | EN | OT | Joshua | Chapter 9 | Verse 5] And olde shoes and clouted vpon their feete: also the raiment vpon them was old, and all their prouision of bread was dried, and mouled.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 6] So they came vnto Ioshua into the hoste to Gilgal, and said vnto him, and vnto the men of Israel, Wee be come from a farre countrey: nowe therefore make a league with vs.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 7] Then the men of Israel said vnto the Hiuites, It may be that thou dwellest among vs, how then can I make a league with thee?
[GNV | EN | OT | Joshua | Chapter 9 | Verse 8] And they said vnto Ioshua, We are thy seruants. Then Ioshua saide vnto them, Who are ye? and whence come ye?
[GNV | EN | OT | Joshua | Chapter 9 | Verse 9] And they answered him, From a very farre countrey thy seruants are come for the Name of the Lord thy God: for we haue heard his fame and all that he hath done in Egypt,
[GNV | EN | OT | Joshua | Chapter 9 | Verse 10] And all that he hath done to the two Kings of the Amorites that were beyonde Iorden, to Sihon King of Heshbon, and to Og King of Bashan, which were at Ashtaroth.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 11] Wherefore our elders, and all the inhabitants of our countrey spake to vs, saying, Take vitailes with you for the iourney, and go to meete them, and say vnto them, Wee are your seruants: now therefore make ye a league with vs.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 12] This our bread we tooke it hote with vs for vittailes out of our houses, the day we departed to come vnto you: but nowe beholde, it is dried, and it is mouled.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 13] Also these bottels of wine which we filled, were newe, and lo, they be rent, and these our garments and our shooes are olde, by reason of the exceeding great iourney.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 14] And the men accepted their tale concerning their vittailes, and counselled not with the mouth of the Lord.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 15] So Ioshua made peace with them, and made a league with them, that he would suffer them to liue: also the Princes of the Congregation sware vnto them.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 16] But at the end of three dayes, after they had made a league with them, they heard that they were their neighbours, and that they dwelt among them.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 17] And the children of Israel tooke their iourney, and came vnto their cities the third day, and their cities were Gibeon, and Chephirah, and Beeroth and Kiriath-iearim.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 18] And the children of Israel slewe them not, because the Princes of the Congregation had sworne vnto them by the Lord God of Israel: wherefore all the Congregation murmured against the Princes.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 19] Then all the Princes said vnto all the Congregation, We haue sworne vnto them by the Lord God of Israel: nowe therefore we may not touch them.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 20] But this we wil doe to them, and let them liue, least the wrath be vpon vs because of the othe which we sware vnto them.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 21] And the Princes sayd vnto them againe, Let them liue, but they shall hewe wood, and drawe water vnto all the Congregation, as the Princes appoint them.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 22] Ioshua then called them, and talked with them, and sayd, Wherefore haue ye beguiled vs, saying, We are very farre from you, when ye dwel among vs?
[GNV | EN | OT | Joshua | Chapter 9 | Verse 23] Now therefore ye are cursed, and there shall none of you be freed from being bondmen, and hewers of wood, and drawers of water for the house of my God.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 24] And they answered Ioshua, and sayd, Because it was tolde thy seruants, that the Lord thy God had commanded his seruant Moses to giue you all the land, and to destroy all the inhabitants of the land out of your sight, therefore we were exceeding sore afraid for our liues at the presence of you, and haue done this thing:
[GNV | EN | OT | Joshua | Chapter 9 | Verse 25] And beholde nowe, we are in thine hand: doe as it seemeth good and right in thine eyes to doe vnto vs.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 26] Euen so did he vnto them, and deliuered them out of the hand of the children of Israel, that they slewe them not.
[GNV | EN | OT | Joshua | Chapter 9 | Verse 27] And Ioshua appointed them that same day to be hewers of wood, and drawers of water for the Congregation, and for the altar of the Lord vnto this day, in the place which he should chuse.
