[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 1] And the spirit of God came upon Azariah the son of Oded;
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 2] and he went out to meet Asa, and said unto him: 'Hear ye me, Asa, and all Judah and Benjamin: the LORD is with you, while ye are with Him; and if ye seek Him, He will be found of you; but if ye forsake Him, He will forsake you.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 3] Now for long seasons Israel was without the true God, and without a teaching priest, and without law;
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 4] but when in their distress they turned unto the LORD, the God of Israel, and sought Him, He was found of them.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 5] And in those times there was no peace to him that went out, nor to him that came in, but great discomfitures were upon all the inhabitants of the lands.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 6] And they were broken in pieces, nation against nation, and city against city; for God did discomfit them with all manner of adversity.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 7] But be ye strong, and let not your hands be slack; for your work shall be rewarded.'
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 8] And when Asa heard these words, even the prophecy of Oded the prophet, he took courage, and put away the detestable things out of all the land of Judah and Benjamin, and out of the cities which he had taken from the hill-country of Ephraim; and he renewed the altar of the LORD, that was before the porch of the LORD.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 9] And he gathered all Judah and Benjamin, and them that sojourned with them out of Ephraim and Manasseh, and out of Simeon; for they fell to him out of Israel in abundance, when they saw that the LORD his God was with him.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 10] So they gathered themselves together at Jerusalem in the third month, in the fifteenth year of the reign of Asa.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 11] And they sacrificed unto the LORD in that day, of the spoil which they had brought, seven hundred oxen and seven thousand sheep.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 12] And they entered into the covenant to seek the LORD, the God of their fathers, with all their heart and with all their soul;
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 13] and that whosoever would not seek the LORD, the God of Israel, should be put to death, whether small or great, whether man or woman.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 14] And they swore unto the LORD with a loud voice, and with shouting, and with trumpets, and with horns.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 15] And all Judah rejoiced at the oath; for they had sworn with all their heart, and sought Him with their whole desire; and He was found of them; and the LORD gave them rest round about.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 16] And also Maacah the mother of Asa the king, he removed her from being queen, because she had made an abominable image for an Asherah; and Asa cut down her image, and made dust of it, and burnt it at the brook Kidron.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 17] But the high places were not taken away out of Israel; nevertheless the heart of Asa was whole all his days.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 18] And he brought into the house of God the things that his father had hallowed, and that he himself had hallowed, silver, and gold, and vessels.
[JPS | EN | OT | 2 Chronicles | Chapter 15 | Verse 19] And there was no more war unto the five and thirtieth year of the reign of Asa.
