[IRV | BN | OT | Genesis | Chapter 42 | Verse 1] আর যাকোব দেখলেন যে, মিশর দেশে শস্য আছে, তাই যাকোব নিজের ছেলেদেরকে বললেন, “তোমরা একজন অন্য জনের মুখ দেখাদেখি কেন করছ?”
[IRV | BN | OT | Genesis | Chapter 42 | Verse 2] তিনি আরও বললেন, “দেখ, আমি শুনলাম, মিশরে শস্য আছে, তোমরা সেখানে যাও, আমাদের জন্য শস্য কিনে আন; তা হলে আমরা বাঁচব, মরব না।”
[IRV | BN | OT | Genesis | Chapter 42 | Verse 3] পরে যোষেফের দশ জন ভাই শস্য কিনতে মিশরে নেমে গেলেন।
[IRV | BN | OT | Genesis | Chapter 42 | Verse 4] কিন্তু যাকোব যোষেফের ভাই বিন্যামীনকে ভাইদের সঙ্গে পাঠালেন না; কারণ তিনি বললেন, যদি এর বিপদ ঘটে।
[IRV | BN | OT | Genesis | Chapter 42 | Verse 5] যারা সেখানে গিয়েছিল, তাঁদের মধ্যে ইস্রায়েলের ছেলেরাও শস্য কেনার জন্য গেলেন, কারণ কনান দেশেও দূর্ভিক্ষ হয়েছিল।
[IRV | BN | OT | Genesis | Chapter 42 | Verse 6] সেই দিনের যোষেফই ঐ দেশের শাসক ছিলেন, তিনিই দেশীয় সব লোকদের কাছে শস্য বিক্রি করছিলেন; অতএব যোষেফের ভাইয়েরা তাঁর কাছে গিয়ে ভূমিতে নত হয়ে প্রণাম করলেন।
[IRV | BN | OT | Genesis | Chapter 42 | Verse 7] তখন যোষেফ নিজের ভাইদেরকে দেখে চিনতে পারলেন, কিন্তু তাঁদের কাছে অপরিচিতের মতো ব্যবহার করলেন ও কঠোরভাবে তাঁদের সঙ্গে কথা বললেন; তিনি তাঁদেরকে বললেন, “তোমরা কোন জায়গা থেকে এসেছ?” তাঁরা বললেন, “কনান দেশ থেকে খাবার কিনতে এসেছি।”
[IRV | BN | OT | Genesis | Chapter 42 | Verse 8] বাস্তবে যোষেফ নিজের ভাইদেরকে চিনতে পারলেন, কিন্তু তাঁরা তাঁকে চিনতে পারলেন না।
[IRV | BN | OT | Genesis | Chapter 42 | Verse 9] আর যোষেফ তাঁদের বিষয়ে যে যে স্বপ্ন দেখেছিলেন তা তাঁর মনে পড়ল এবং তিনি তাঁদেরকে বললেন, “তোমরা গুপ্তচর, দেশের অসুরক্ষিত জায়গা দেখতে এসেছ।”
[IRV | BN | OT | Genesis | Chapter 42 | Verse 10] তাঁরা বললেন, “না প্রভু, আপনার এই দাসেরা খাবার কিনতে এসেছে;
[IRV | BN | OT | Genesis | Chapter 42 | Verse 11] আমরা সবাই এক বাবার ছেলে; আমরা সৎলোক, আপনার এই দাসেরা চর নয়।”
[IRV | BN | OT | Genesis | Chapter 42 | Verse 12] কিন্তু তিনি তাঁদেরকে বললেন, “না না, তোমরা দেশের অসুরক্ষিত জায়গা দেখতে এসেছ।”
[IRV | BN | OT | Genesis | Chapter 42 | Verse 13] তাঁরা বললেন, “আপনার এই দাসেরা বারো ভাই, কনান দেশে বসবাসকারী এক জনের ছেলে; দেখুন, আমাদের ছোট ভাই আজ বাবার কাছে আছে এবং এক জন নেই।”
