[IRV | BN | OT | Genesis | Chapter 7 | Verse 1] আর সদাপ্রভু নোহকে বললেন, “তুমি সপরিবারে জাহাজে প্রবেশ কর, কারণ এই কালের লোকদের মধ্যে আমার সামনে তোমাকেই ধার্মিক দেখেছি।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 2] তুমি শুচি পশুর স্ত্রীপুরুষ নিয়ে প্রত্যেক জাতির সাত সাত জোড়া এবং অশুচি পশুর স্ত্রী ও পুরুষ নিয়ে প্রত্যেক জাতির
[IRV | BN | OT | Genesis | Chapter 7 | Verse 3] এক এক জোড়া এবং আকাশের পাখিদেরও স্ত্রীপুরুষ নিয়ে প্রত্যেক জাতির সাত সাত জোড়া, সমস্ত ভূমণ্ডলে তাদের বংশ রক্ষার জন্য নিজের সঙ্গে রাখ।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 4] কারণ সাত দিনের র পর আমি পৃথিবীতে চল্লিশ দিন রাত বৃষ্টি বর্ষণ করে আমার সৃষ্টি যাবতীয় প্রাণীকে পৃথিবী থেকে উচ্ছিন্ন করব।”
[IRV | BN | OT | Genesis | Chapter 7 | Verse 5] তখন নোহ সদাপ্রভুর আদেশ অনুসারে সব কাজ করলেন।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 6] নোহের ছয়শো বছর বয়সে পৃথিবীতে জলপ্লাবন হল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 7] জলপ্লাবনের জন্য নোহ ও তাঁর ছেলেরা এবং তাঁর স্ত্রী ও ছেলের বউরা জাহাজে প্রবেশ করলেন।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 8] নোহের প্রতি ঈশ্বরের আদেশ অনুসারে শুচি অশুচি পশুর
[IRV | BN | OT | Genesis | Chapter 7 | Verse 9] এবং পাখির ও ভূমিতে চলাচল যাবতীয় জীবের স্ত্রী পুরুষ জোড়া জোড়া জাহাজে প্রবেশ করল, যেমন ঈশ্বর নোহকে আদেশ করেছিল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 10] আর সেই সাত দিন পরে পৃথিবীতে জলপ্লাবন হল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 11] নোহের বয়সের ছয়শো বছরের দ্বিতীয় মাসের সতেরো দিনের মহাজলধির সমস্ত উনুই ভেঙে গেল এবং আকাশের জানালা সব মুক্ত হল;
[IRV | BN | OT | Genesis | Chapter 7 | Verse 12] তাতে পৃথিবীতে চল্লিশ দিন রাত মহাবৃষ্টি হল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 13] সেই দিন নোহ এবং শেম, হাম ও যেফৎ নামে নোহের ছেলেরা এবং তাঁদের সঙ্গে নোহের স্ত্রী ও তিন ছেলের বউরা জাহাজে প্রবেশ করলেন।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 14] আর তাঁদের সঙ্গে সর্বজাতীয় বন্য পশু, সবজাতীয় গ্রাম্য পশু, সবজাতীয় মাটিতে চলাচল করা সরীসৃপ জীব ও সবজাতীয় পাখি,
[IRV | BN | OT | Genesis | Chapter 7 | Verse 15] প্রাণবায়ুবিশিষ্ট সর্বপ্রকার জীবজন্তু জোড়া জোড়া জাহাজে নোহের কাছে প্রবেশ করল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 16] ফলতঃ তাঁর প্রতি ঈশ্বরের আদেশ অনুসারে সমস্ত প্রাণীর স্ত্রী ও পুরুষ প্রবেশ করল। পরে সদাপ্রভু তাঁর জন্য পিছনের দরজা বন্ধ করলেন।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 17] আর চল্লিশ দিন পর্যন্ত পৃথিবীতে বন্যা হল, তাতে জল বৃদ্ধি পেয়ে জাহাজ ভাসালে তা মাটি ছেড়ে উঠল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 18] পরে জল প্রবল হয়ে পৃথিবীতে অনেক বেড়ে গেল এবং জাহাজ জলের উপরে ভেসে উঠল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 19] আর পৃথিবীতে জল অত্যন্ত প্রবল হল, আকাশমণ্ডলের নীচের সব মহাপর্বত ডুবে গেল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 20] তার উপরে পনেরো হ্যাঁত জল উঠে প্রবল হল, পর্বত সকল ডুবে গেল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 21] তাতে মাটিতে চলাচল যাবতীয় প্রাণী, পাখি, পশুপাল ও বন্য পশু সব এবং সমস্ত মানুষ মারা গেল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 22] মাটিতে চলনশীল যত প্রাণীর নাকে প্রাণবায়ুর সঞ্চার ছিল, সকলে মারা গেল।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 23] এই ভাবে পৃথিবী নিবাসী সমস্ত প্রাণী মানুষ, পশু, সরীসৃপ, জীব ও আকাশের পাখি সকল উচ্ছিন্ন হল, পৃথিবী থেকে উচ্ছিন্ন হল, কেবল নোহ ও তাঁর সঙ্গী জাহাজে প্রাণীরা বেঁচে গেলেন।
[IRV | BN | OT | Genesis | Chapter 7 | Verse 24] আর জল পৃথিবীর উপরে একশো পঞ্চাশ দিন পর্যন্ত প্রবল থাকল।
