[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 1] Then all the ancients of Israel with the princes of the tribes, and the heads of the families of the children of Israel were assembled to king Solomon in Jerusalem: that they might carry the ark of the covenant of the Lord out of the city of David, that is, out of Sion.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 2] And all Israel assembled themselves to king Solomon on the festival day in the month of Ethanim, the same is the seventh month.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 3] And all the ancients of Israel came, and the priests took up the ark,
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 4] And carried the ark of the Lord, and the tabernacle of the covenant, and all the vessels of the sanctuary, that were in the tabernacle: and the priests and the Levites carried them.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 5] And king Solomon, and all the multitude of Israel, that were assembled unto him went with him before the ark, and they sacrificed sheep and oxen that could not be counted or numbered.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 6] And the priests brought in the ark of the covenant of the Lord into its place, into the oracle of the temple, into the holy of holies under the wings of the cherubims.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 7] For the cherubims spread forth their wings over the place of the ark, and covered the art, and the staves thereof above.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 8] And whereas the staves stood out, the ends of them were seen without in the sanctuary before the oracle, but were not seen farther out, and there they have been unto this day.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 9] Now in the ark there was nothing else but the two tables of stone, which Moses put there at Horeb, when the Lord made a covenant with the children of Israel, when they came out of the land of Egypt.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 10] And it came to pass, when the priests were come out of the sanctuary, that a cloud filled the house of the Lord,
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 11] And the priests could not stand to minister because of the cloud: for the glory of the Lord had filled the house of the Lord.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 12] Then Solomon said: The Lord said that he would dwell in a cloud.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 13] Building I have built a house for thy dwelling, to be thy most firm throne for ever.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 14] And the king turned his face, and blessed all the assembly of Israel: for all the assembly of Israel stood.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 15] And Solomon said: Blessed be the Lord the God of Israel, who spoke with his mouth to David my father, and with his own hands hath accomplished it, saying:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 16] Since the day that I brought my people Israel out of Egypt, I chose no city out of all the tribes of Israel, for a house to be built, that my name might be there: but I chose David to be over my people Israel.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 17] And David my father would have built a house to the name of the Lord the God of Israel:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 18] And the Lord said to David my father: Whereas thou hast thought in thy heart to build a house to my name, thou hast done well in having this same thing in thy mind.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 19] Nevertheless thou shalt not build me a house, but thy son, that shall come forth out of thy loins, he shall build a house to my name.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 20] The Lord hath performed his word which he spoke: and I stand in the room of David my father, and sit upon the throne of Israel, as the Lord promised: and have built a house to the name of the Lord the God of Israel.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 21] And I have set there a place for the ark, wherein is the covenant of the Lord, which he made with our fathers, when they came out of the land of Egypt.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 22] And Solomon stood before the altar of the Lord in the sight of the assembly of Israel, and spread forth his hands towards heaven;
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 23] And said: Lord God of Israel, there is no God like thee in heaven above, or on earth beneath: who keepest covenant and mercy with thy servants that have walked before thee with all their heart.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 24] Who hast kept with thy servant David my father what thou hast promised him: with thy mouth thou didst speak, and with thy hands thou hast performed, as this day proveth.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 25] Now therefore, O Lord God of Israel, keep with thy servant David my father what thou hast spoken to him, saying: There shall not be taken away of thee a man in my sight, to sit on the throne of Israel: yet so that thy children take heed to their way, that they walk before me as thou hast walked in my sight.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 26] And now, Lord God of Israel, let thy words be established, which thou hast spoken to thy servant David my father.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 27] Is it then to be thought that God should indeed dwell upon earth? for if heaven, and the heavens of heavens cannot contain thee, how much less this house which I have built?
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 28] But have regard to the prayer of thy servant, and to his supplications, O Lord my God: hear the hymn and the prayer, which thy servant prayeth before thee this day:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 29] That thy eyes may be open upon this house night and day: upon the house of which thou hast said: My name shall be there: that thou mayest hearken to the prayer, which thy servant prayeth in this place to thee.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 30] That thou mayest hearken to the supplication of thy servant and of thy people Israel, whatsoever they shall pray for in this place, and hear them in the place of thy dwelling in heaven; and when thou hearest, shew them mercy.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 31] If any man trespass against his neighbour, and have an oath upon him, wherewith he is bound: and come because of the oath before thy altar to thy house,
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 32] Then hear thou in heaven: and do, and judge thy servants, condemning the wicked, and bringing his way upon his own head, and justifying the just, and rewarding him according to his justice.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 33] If thy people Israel shall fly before their enemies, (because they will sin against thee,) and doing penance, and confessing to thy name, shall come, and pray, and make supplications to thee in this house:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 34] Then hear thou in heaven, and forgive the sin of thy people Israel, and bring them back to the land which thou gavest to their fathers.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 35] If heaven shall be shut up, and there shall be no rain, because of their sins, and they praying in this place, shall do penance to thy name, and shall be converted from their sins, by occasion of their afflictions:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 36] Then hear thou them in heaven, and forgive the sins of thy servants, and of thy people Israel: and shew them the good way wherein they should walk, and give rain upon thy land, which thou hast given to thy people in possession.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 37] If a famine arise in the land, or a pestilence, or corrupt air, or blasting, or locust, or mildew, if their enemy afflict them besieging the gates, whatsoever plague, whatsoever infirmity,
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 38] Whatsoever curse or imprecation shall happen to any man of thy people Israel: when a man shall know the wound of his own heart, and shall spread forth his hands in this house,
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 39] Then hear thou in heaven, in the place of thy dwelling, and forgive, and do so as to give to every one according to his ways, as thou shalt see his heart (for thou only knowest the heart of all the children of men)
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 40] That they may fear thee all the days that they live upon the face of the land, which thou hast given to our fathers.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 41] Moreover also the stranger, who is not of thy people Israel, when he shall come out of a far country for thy name’s sake, (for they shall hear everywhere of thy great name and thy mighty hand,
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 42] And thy stretched out arm,) so when he shall come, and shall pray in this place,
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 43] Then hear thou in heaven, in the firmament of thy dwelling place, and do all those things, for which that stranger shall call upon thee: that all the people of the earth may learn to fear thy name, as do thy people Israel, and may prove that thy name is called upon on this house, which I have built.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 44] If thy people go out to war against their enemies, by what way soever thou shalt send them, they shall pray to thee towards the way of the city, which thou hast chosen, and towards the house, which I have built to thy name:
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 45] And then hear thou in heaven their prayers, and their supplications, and do judgment for them.
[DRA | EN | OT | 1 Kings | Chapter 8 | Verse 46] But if they sin against thee (for there is no man who sinneth not) and thou being angry deliver them up to their enemies, so that they be led away captives into the land of their enemies far or near;
