[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 1] And there passed three years without war between Syria and Israel.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 2] And in the third year, Josaphat king of Juda came down to the king of Israel.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 3] (And the king of Israel said to his servants: Know ye not-that Ramoth Galaad is ours, and we neglect to take it out of the hand of the king of Syria?)
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 4] And he said to Josaphat: Wilt thou come with me to battle to Ramoth Galaad?
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 5] And Josaphat said to the king of Israel: As I am, so art thou: my people and thy people are one: and my horsemen, thy horsemen. And Josaphat said to the king of Israel: Inquire, I beseech thee, this day, the word of the Lord.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 6] Then the king of Israel assembled the prophets, about four hundred men, and he said to them: Shall I go to Ramoth Galaad to fight, or shall I forbear? They answered: Go up, and the Lord will deliver it into the hand of the king.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 7] And Josaphat said: Is there not here some prophet of the Lord, that we may inquire by him?
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 8] And the king of Israel said to Josaphat: There is one man left, by whom we may inquire of the Lord: Micheas the son of Jemla; but I hate him, for he doth not prophesy good to me, but evil. And Josaphat said: Speak not so, O king.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 9] Then the king of Israel called an eunuch, and said to him: Make haste, and bring hither Micheas the son of Jemla.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 10] Then the king of Israel, and Josaphat king of Juda, sat each on his throne clothed with royal robes, in a court by the entrance of the gate of Samaria, and all the prophets prophesied before them.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 11] And Sedecias the son of Chanaana made himself horns of iron, and said: Thus saith the Lord: With these shalt thou push Syria, till thou destroy it.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 12] And all the prophets prophesied in like manner, saying: Go up to Ramoth Galaad, and prosper, for the Lord will deliver it into the king’s hands.
[DRA | EN | OT | 1 Kings | Chapter 22 | Verse 13] And the messenger, that went to call Micheas, spoke to him, saying: Behold the words of the prophets with one month declare good things to the king: let thy word therefore be like to theirs, and speak that which is good.
