[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 1] And king Solomon reigned over all Israel:
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 2] And these were the princes which he had: Azarias the son of Sadoc the priest:
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 3] Elihoreph, and Ahia, the sons of Sisa, scribes: Josaphat the son of Ahilud, recorder:
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 4] Banaias the son of Joiada, over the army: and Sadoc and Abiathar priests.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 5] Azarias the son of Nathan, over them that were about the king: Zabud, the son of Nathan the priest, the king’s friend:
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 6] And Ahisar governor of the house: and Adoniram the son of Abda over the tribute.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 7] And Solomon had twelve governors over all Israel, who provided victuals for the king and for his household: for every one provided necessaries, each man his month in the year.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 8] And these are their names: Benhur, in mount Ephraim,
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 9] Bendecar, in Macces, and in Salebim, and in Bethsames, and in Elon, and in Bethanan.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 10] Benhesed in Aruboth: his was Socho, and all the land of Epher.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 11] Benabinadab, to whom belonged all Nephath-Dor, he had Tapheth the daughter of Solomon to wife.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 12] Bana the son of Ahilud, who governed Thanac and Mageddo, and all Bethsan, which is by Sarthana beneath Jezrael, from Bethsan unto Abelmehula over against Jecmaan.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 13] Bengaber in Ramoth Galaad: he had the towns of Jair the son of Manasses in Galaad, he was chief in all the country of Argob, which is in Basan, threescore great cities with walls, and brazen bolts.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 14] Abinadab the son of Addo was chief in Manaim.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 15] Achimaas in Nephtali: he also had Basemath the daughter of Solomon to wife.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 16] Baana the son of Husi, in Aser and in Baloth.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 17] Josaphat the son of Pharue, in Issachar.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 18] Semei the son of Ela in Benjamin.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 19] Gaber the son of Uri, in the land of Galaad, in the land of Sehon the king of the Amorrhites and of Og the king of Basan, over all that were in that land.
[DRA | EN | OT | 1 Kings | Chapter 4 | Verse 20] Juda and Israel were innumerable, as the sand of the sea in multitude: eating and drinking, and rejoicing.
