[BSB | EN | OT | Numbers | Chapter 17 | Verse 1] And the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 17 | Verse 2] “Speak to the Israelites and take from them twelve staffs, one from the leader of each tribe. Write each man’s name on his staff,
[BSB | EN | OT | Numbers | Chapter 17 | Verse 3] and write Aaron’s name on the staff of Levi, because there must be one staff for the head of each tribe.
[BSB | EN | OT | Numbers | Chapter 17 | Verse 4] Place the staffs in the Tent of Meeting in front of the Testimony, where I meet with you.
[BSB | EN | OT | Numbers | Chapter 17 | Verse 5] The staff belonging to the man I choose will sprout, and I will rid Myself of the constant grumbling of the Israelites against you.”
[BSB | EN | OT | Numbers | Chapter 17 | Verse 6] So Moses spoke to the Israelites, and each of their leaders gave him a staff—one for each of the leaders of their tribes, twelve staffs in all. And Aaron’s staff was among them.
[BSB | EN | OT | Numbers | Chapter 17 | Verse 7] Then Moses placed the staffs before the LORD in the Tent of the Testimony.
[BSB | EN | OT | Numbers | Chapter 17 | Verse 8] The next day Moses entered the Tent of the Testimony and saw that Aaron’s staff, representing the house of Levi, had sprouted, put forth buds, blossomed, and produced almonds.
[BSB | EN | OT | Numbers | Chapter 17 | Verse 9] Then Moses brought out all the staffs from the LORD’s presence to all the Israelites. They saw them, and each man took his own staff.
[BSB | EN | OT | Numbers | Chapter 17 | Verse 10] The LORD said to Moses, “Put Aaron’s staff back in front of the Testimony, to be kept as a sign for the rebellious, so that you may put an end to their grumbling against Me, lest they die.”
[BSB | EN | OT | Numbers | Chapter 17 | Verse 11] So Moses did as the LORD had commanded him.
[BSB | EN | OT | Numbers | Chapter 17 | Verse 12] Then the Israelites declared to Moses, “Look, we are perishing! We are lost; we are all lost!
[BSB | EN | OT | Numbers | Chapter 17 | Verse 13] Anyone who comes near the tabernacle of the LORD will die. Are we all going to perish?”
