[BSB | EN | OT | Numbers | Chapter 31 | Verse 1] And the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 2] “Take vengeance on the Midianites for the Israelites. After that, you will be gathered to your people.”
[BSB | EN | OT | Numbers | Chapter 31 | Verse 3] So Moses told the people, “Arm some of your men for war, that they may go against the Midianites and execute the LORD’s vengeance on them.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 4] Send into battle a thousand men from each tribe of Israel.”
[BSB | EN | OT | Numbers | Chapter 31 | Verse 5] So a thousand men were recruited from each tribe of Israel—twelve thousand armed for war.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 6] And Moses sent the thousand from each tribe into battle, along with Phinehas son of Eleazar the priest, who took with him the vessels of the sanctuary and the trumpets for signaling.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 7] Then they waged war against Midian, as the LORD had commanded Moses, and they killed every male.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 8] Among the slain were Evi, Rekem, Zur, Hur, and Reba—the five kings of Midian. They also killed Balaam son of Beor with the sword.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 9] The Israelites captured the Midianite women and their children, and they plundered all their herds, flocks, and goods.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 10] Then they burned all the cities where the Midianites had lived, as well as all their encampments,
[BSB | EN | OT | Numbers | Chapter 31 | Verse 11] and carried away all the plunder and spoils, both people and animals.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 12] They brought the captives, spoils, and plunder to Moses, to Eleazar the priest, and to the congregation of Israel at the camp on the plains of Moab, by the Jordan across from Jericho.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 13] And Moses, Eleazar the priest, and all the leaders of the congregation went to meet them outside the camp.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 14] But Moses was angry with the officers of the army—the commanders of thousands and commanders of hundreds—who were returning from the battle.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 15] “Have you spared all the women?” he asked them.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 16] “Look, these women caused the sons of Israel, through the counsel of Balaam, to turn unfaithfully against the LORD at Peor, so that the plague struck the congregation of the LORD.
[BSB | EN | OT | Numbers | Chapter 31 | Verse 17] So now, kill all the boys, as well as every woman who has had relations with a man,
