[BSB | EN | OT | Numbers | Chapter 10 | Verse 1] Then the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 10 | Verse 2] “Make two trumpets of hammered silver to be used for calling the congregation and for having the camps set out.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 3] When both are sounded, the whole congregation is to assemble before you at the entrance to the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 4] But if only one is sounded, then the leaders, the heads of the clans of Israel, are to gather before you.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 5] When you sound short blasts, the camps that lie on the east side are to set out.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 6] When you sound the short blasts a second time, the camps that lie on the south side are to set out. The blasts are to signal them to set out.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 7] To convene the assembly, you are to sound long blasts, not short ones.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 8] The sons of Aaron, the priests, are to sound the trumpets. This shall be a permanent statute for you and the generations to come.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 9] When you enter into battle in your land against an adversary who attacks you, sound short blasts on the trumpets, and you will be remembered before the LORD your God and saved from your enemies.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 10] And on your joyous occasions, your appointed feasts, and the beginning of each month, you are to blow the trumpets over your burnt offerings and fellowship offerings to serve as a reminder for you before your God. I am the LORD your God.”
[BSB | EN | OT | Numbers | Chapter 10 | Verse 11] On the twentieth day of the second month of the second year, the cloud was lifted from above the tabernacle of the Testimony,
[BSB | EN | OT | Numbers | Chapter 10 | Verse 12] and the Israelites set out from the Wilderness of Sinai, traveling from place to place until the cloud settled in the Wilderness of Paran.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 13] They set out this first time according to the LORD’s command through Moses.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 14] First, the divisions of the camp of Judah set out under their standard, with Nahshon son of Amminadab in command.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 15] Nethanel son of Zuar was over the division of the tribe of Issachar,
[BSB | EN | OT | Numbers | Chapter 10 | Verse 16] and Eliab son of Helon was over the division of the tribe of Zebulun.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 17] Then the tabernacle was taken down, and the Gershonites and the Merarites set out, transporting it.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 18] Then the divisions of the camp of Reuben set out under their standard, with Elizur son of Shedeur in command.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 19] Shelumiel son of Zurishaddai was over the division of the tribe of Simeon,
[BSB | EN | OT | Numbers | Chapter 10 | Verse 20] and Eliasaph son of Deuel was over the division of the tribe of Gad.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 21] Then the Kohathites set out, transporting the holy objects; the tabernacle was to be set up before their arrival.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 22] Next, the divisions of the camp of Ephraim set out under their standard, with Elishama son of Ammihud in command.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 23] Gamaliel son of Pedahzur was over the division of the tribe of Manasseh,
[BSB | EN | OT | Numbers | Chapter 10 | Verse 24] and Abidan son of Gideoni was over the division of the tribe of Benjamin.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 25] Finally, the divisions of the camp of Dan set out under their standard, serving as the rear guard for all units, with Ahiezer son of Ammishaddai in command.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 26] Pagiel son of Ocran was over the division of the tribe of Asher,
[BSB | EN | OT | Numbers | Chapter 10 | Verse 27] and Ahira son of Enan was over the division of the tribe of Naphtali.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 28] This was the order of march for the Israelite divisions as they set out.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 29] Then Moses said to Hobab, the son of Moses’ father-in-law Reuel the Midianite, “We are setting out for the place of which the LORD said: ‘I will give it to you.’ Come with us, and we will treat you well, for the LORD has promised good things to Israel.”
[BSB | EN | OT | Numbers | Chapter 10 | Verse 30] “I will not go,” Hobab replied. “Instead, I am going back to my own land and my own people.”
[BSB | EN | OT | Numbers | Chapter 10 | Verse 31] “Please do not leave us,” Moses said, “since you know where we should camp in the wilderness, and you can serve as our eyes.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 32] If you come with us, we will share with you whatever good things the LORD gives us.”
[BSB | EN | OT | Numbers | Chapter 10 | Verse 33] So they set out on a three-day journey from the mountain of the LORD, with the ark of the covenant of the LORD traveling ahead of them for those three days to seek a resting place for them.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 34] And the cloud of the LORD was over them by day when they set out from the camp.
[BSB | EN | OT | Numbers | Chapter 10 | Verse 35] Whenever the ark set out, Moses would say, “Rise up, O LORD! May Your enemies be scattered; may those who hate You flee before You.”
[BSB | EN | OT | Numbers | Chapter 10 | Verse 36] And when it came to rest, he would say: “Return, O LORD, to the countless thousands of Israel.”
