[BSB | EN | OT | Numbers | Chapter 25 | Verse 1] While Israel was staying in Shittim, the men began to indulge in sexual immorality with the daughters of Moab,
[BSB | EN | OT | Numbers | Chapter 25 | Verse 2] who also invited them to the sacrifices for their gods. And the people ate and bowed down to these gods.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 3] So Israel joined in worshiping Baal of Peor, and the anger of the LORD burned against them.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 4] Then the LORD said to Moses, “Take all the leaders of the people and execute them in broad daylight before the LORD, so that His fierce anger may turn away from Israel.”
[BSB | EN | OT | Numbers | Chapter 25 | Verse 5] So Moses told the judges of Israel, “Each of you must kill all of his men who have joined in worshiping Baal of Peor.”
[BSB | EN | OT | Numbers | Chapter 25 | Verse 6] Just then an Israelite man brought to his family a Midianite woman in the sight of Moses and the whole congregation of Israel while they were weeping at the entrance to the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 7] On seeing this, Phinehas son of Eleazar, the son of Aaron the priest, got up from the assembly, took a spear in his hand,
[BSB | EN | OT | Numbers | Chapter 25 | Verse 8] followed the Israelite into his tent, and drove the spear through both of them—through the Israelite and on through the belly of the woman. So the plague against the Israelites was halted,
[BSB | EN | OT | Numbers | Chapter 25 | Verse 9] but those who died in the plague numbered 24,000.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 10] Then the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 25 | Verse 11] “Phinehas son of Eleazar, the son of Aaron the priest, has turned My wrath away from the Israelites; for he was zealous for My sake among them, so that I did not consume the Israelites in My zeal.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 12] Declare, therefore, that I am granting him My covenant of peace.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 13] It will be a covenant of permanent priesthood for him and his descendants, because he was zealous for his God and made atonement for the Israelites.”
[BSB | EN | OT | Numbers | Chapter 25 | Verse 14] The name of the Israelite who was slain with the Midianite woman was Zimri son of Salu, the leader of a Simeonite family.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 15] And the name of the slain Midianite woman was Cozbi, the daughter of Zur, a tribal chief of a Midianite family.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 16] And the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 25 | Verse 17] “Attack the Midianites and strike them dead.
[BSB | EN | OT | Numbers | Chapter 25 | Verse 18] For they assailed you deceitfully when they seduced you in the matter of Peor and their sister Cozbi, the daughter of the Midianite leader, the woman who was killed on the day the plague came because of Peor.”
