[BSB | EN | OT | Numbers | Chapter 21 | Verse 1] When the Canaanite king of Arad, who lived in the Negev, heard that Israel was coming along the road to Atharim, he attacked Israel and captured some prisoners.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 2] So Israel made a vow to the LORD: “If You will deliver this people into our hands, we will devote their cities to destruction.”
[BSB | EN | OT | Numbers | Chapter 21 | Verse 3] And the LORD heard Israel’s plea and delivered up the Canaanites. Israel devoted them and their cities to destruction; so they named the place Hormah.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 4] Then they set out from Mount Hor along the route to the Red Sea, in order to bypass the land of Edom. But the people grew impatient on the journey
[BSB | EN | OT | Numbers | Chapter 21 | Verse 5] and spoke against God and against Moses: “Why have you led us up out of Egypt to die in the wilderness? There is no bread or water, and we detest this wretched food!”
[BSB | EN | OT | Numbers | Chapter 21 | Verse 6] So the LORD sent venomous snakes among the people, and many of the Israelites were bitten and died.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 7] Then the people came to Moses and said, “We have sinned by speaking against the LORD and against you. Intercede with the LORD so He will take the snakes away from us.” So Moses interceded for the people.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 8] Then the LORD said to Moses, “Make a fiery serpent and mount it on a pole. When anyone who is bitten looks at it, he will live.”
[BSB | EN | OT | Numbers | Chapter 21 | Verse 9] So Moses made a bronze snake and mounted it on a pole. If anyone who was bitten looked at the bronze snake, he would live.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 10] Then the Israelites set out and camped at Oboth.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 11] They journeyed from Oboth and camped at Iye-abarim in the wilderness opposite Moab to the east.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 12] From there they set out and camped in the Valley of Zered.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 13] From there they moved on and camped on the other side of the Arnon, in the wilderness that extends into the Amorite territory. Now the Arnon is the border between the Moabites and the Amorites.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 14] Therefore it is stated in the Book of the Wars of the LORD: “Waheb in Suphah and the wadis of the Arnon,
[BSB | EN | OT | Numbers | Chapter 21 | Verse 15] even the slopes of the wadis that extend to the site of Ar and lie along the border of Moab.”
[BSB | EN | OT | Numbers | Chapter 21 | Verse 16] From there they went on to Beer, the well where the LORD said to Moses, “Gather the people so that I may give them water.”
[BSB | EN | OT | Numbers | Chapter 21 | Verse 17] Then Israel sang this song: “Spring up, O well, all of you sing to it!
[BSB | EN | OT | Numbers | Chapter 21 | Verse 18] The princes dug the well; the nobles of the people hollowed it out with their scepters and with their staffs.” From the wilderness the Israelites went on to Mattanah,
[BSB | EN | OT | Numbers | Chapter 21 | Verse 19] and from Mattanah to Nahaliel, and from Nahaliel to Bamoth,
[BSB | EN | OT | Numbers | Chapter 21 | Verse 20] and from Bamoth to the valley in Moab where the top of Pisgah overlooks the wasteland.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 21] Then Israel sent messengers to Sihon king of the Amorites, saying,
[BSB | EN | OT | Numbers | Chapter 21 | Verse 22] “Let us pass through your land. We will not cut through any field or vineyard, or drink water from any well. We will stay on the King’s Highway until we have passed through your territory.”
[BSB | EN | OT | Numbers | Chapter 21 | Verse 23] But Sihon would not let Israel pass through his territory. Instead, he gathered his whole army and went out to confront Israel in the wilderness. When he came to Jahaz, he fought against Israel.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 24] And Israel put him to the sword and took possession of his land, from the Arnon to the Jabbok—but only up to the border of the Ammonites, because it was fortified.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 25] Israel captured all the cities of the Amorites and occupied them, including Heshbon and all its villages.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 26] Heshbon was the city of Sihon king of the Amorites, who had fought against the former king of Moab and taken all his land as far as the Arnon.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 27] That is why the poets say: “Come to Heshbon, let it be rebuilt; let the city of Sihon be restored.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 28] For a fire went out from Heshbon, a blaze from the city of Sihon. It consumed Ar of Moab, the rulers of Arnon’s heights.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 29] Woe to you, O Moab! You are destroyed, O people of Chemosh! He gave up his sons as refugees, and his daughters into captivity to Sihon king of the Amorites.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 30] But we have overthrown them; Heshbon is destroyed as far as Dibon. We demolished them as far as Nophah, which reaches to Medeba.”
[BSB | EN | OT | Numbers | Chapter 21 | Verse 31] So Israel lived in the land of the Amorites.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 32] After Moses had sent spies to Jazer, Israel captured its villages and drove out the Amorites who were there.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 33] Then they turned and went up the road to Bashan, and Og king of Bashan and his whole army came out to meet them in battle at Edrei.
[BSB | EN | OT | Numbers | Chapter 21 | Verse 34] But the LORD said to Moses, “Do not fear him, for I have delivered him into your hand, along with all his people and his land. Do to him as you did to Sihon king of the Amorites, who lived in Heshbon.”
[BSB | EN | OT | Numbers | Chapter 21 | Verse 35] So they struck down Og, along with his sons and his whole army, until no remnant was left. And they took possession of his land.
