[BSB | EN | OT | Numbers | Chapter 14 | Verse 1] Then the whole congregation lifted up their voices and cried out, and that night the people wept.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 2] All the Israelites grumbled against Moses and Aaron, and the whole congregation said to them, “If only we had died in the land of Egypt, or if only we had died in this wilderness!
[BSB | EN | OT | Numbers | Chapter 14 | Verse 3] Why is the LORD bringing us into this land to fall by the sword? Our wives and children will become plunder. Would it not be better for us to go back to Egypt?”
[BSB | EN | OT | Numbers | Chapter 14 | Verse 4] So they said to one another, “Let us appoint a leader and return to Egypt.”
[BSB | EN | OT | Numbers | Chapter 14 | Verse 5] Then Moses and Aaron fell facedown before the whole assembly of the congregation of Israel.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 6] Joshua son of Nun and Caleb son of Jephunneh, who were among those who had spied out the land, tore their clothes
[BSB | EN | OT | Numbers | Chapter 14 | Verse 7] and said to the whole congregation of Israel, “The land we passed through and explored is an exceedingly good land.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 8] If the LORD delights in us, He will bring us into this land, a land flowing with milk and honey, and He will give it to us.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 9] Only do not rebel against the LORD, and do not be afraid of the people of the land, for they will be like bread for us. Their protection has been removed, and the LORD is with us. Do not be afraid of them!”
[BSB | EN | OT | Numbers | Chapter 14 | Verse 10] But the whole congregation threatened to stone Joshua and Caleb. Then the glory of the LORD appeared to all the Israelites at the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 11] And the LORD said to Moses, “How long will this people treat Me with contempt? How long will they refuse to believe in Me, despite all the signs I have performed among them?
[BSB | EN | OT | Numbers | Chapter 14 | Verse 12] I will strike them with a plague and destroy them—and I will make you into a nation greater and mightier than they are.”
[BSB | EN | OT | Numbers | Chapter 14 | Verse 13] But Moses said to the LORD, “The Egyptians will hear of it, for by Your strength You brought this people from among them.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 14] And they will tell it to the inhabitants of this land. They have already heard that You, O LORD, are in the midst of this people, that You, O LORD, have been seen face to face, that Your cloud stands over them, and that You go before them in a pillar of cloud by day and a pillar of fire by night.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 15] If You kill this people as one man, the nations who have heard of Your fame will say,
[BSB | EN | OT | Numbers | Chapter 14 | Verse 16] ‘Because the LORD was unable to bring this people into the land He swore to give them, He has slaughtered them in the wilderness.’
[BSB | EN | OT | Numbers | Chapter 14 | Verse 17] So now I pray, may the power of my Lord be magnified, just as You have declared:
[BSB | EN | OT | Numbers | Chapter 14 | Verse 18] ‘The LORD is slow to anger and abounding in loving devotion, forgiving iniquity and transgression. Yet He will by no means leave the guilty unpunished; He will visit the iniquity of the fathers upon their children to the third and fourth generation.’
[BSB | EN | OT | Numbers | Chapter 14 | Verse 19] Pardon, I pray, the iniquity of this people, in keeping with the greatness of Your loving devotion, just as You have forgiven them ever since they left Egypt.”
[BSB | EN | OT | Numbers | Chapter 14 | Verse 20] “I have pardoned them as you requested,” the LORD replied.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 21] “Yet as surely as I live and as surely as the whole earth is filled with the glory of the LORD,
[BSB | EN | OT | Numbers | Chapter 14 | Verse 22] not one of the men who have seen My glory and the signs I performed in Egypt and in the wilderness—yet have tested Me and disobeyed Me these ten times—
[BSB | EN | OT | Numbers | Chapter 14 | Verse 23] not one will ever see the land that I swore to give their fathers. None of those who have treated Me with contempt will see it.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 24] But because My servant Caleb has a different spirit and has followed Me wholeheartedly, I will bring him into the land he has entered, and his descendants will inherit it.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 25] Now since the Amalekites and Canaanites are living in the valleys, turn back tomorrow and head for the wilderness along the route to the Red Sea.”
[BSB | EN | OT | Numbers | Chapter 14 | Verse 26] Then the LORD said to Moses and Aaron,
[BSB | EN | OT | Numbers | Chapter 14 | Verse 27] “How long will this wicked congregation grumble against Me? I have heard the complaints that the Israelites are making against Me.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 28] So tell them: As surely as I live, declares the LORD, I will do to you exactly as I heard you say.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 29] Your bodies will fall in this wilderness—all who were numbered in the census, everyone twenty years of age or older—because you have grumbled against Me.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 30] Surely none of you will enter the land in which I swore to settle you, except Caleb son of Jephunneh and Joshua son of Nun.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 31] But I will bring your children, whom you said would become plunder, into the land you have rejected—and they will enjoy it.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 32] As for you, however, your bodies will fall in this wilderness.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 33] Your children will be shepherds in the wilderness for forty years, and they will suffer for your unfaithfulness until the last of your bodies lies in the wilderness.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 34] In keeping with the forty days you spied out the land, you shall bear your guilt forty years—a year for each day—and you will experience My alienation.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 35] I, the LORD, have spoken, and I will surely do these things to this entire wicked congregation, which has conspired against Me. They will meet their end in the wilderness, and there they will die.”
[BSB | EN | OT | Numbers | Chapter 14 | Verse 36] So the men Moses had sent to spy out the land, who had returned and made the whole congregation grumble against him by bringing out a bad report about the land—
[BSB | EN | OT | Numbers | Chapter 14 | Verse 37] those men who had brought out the bad report about the land—were struck down by a plague before the LORD.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 38] Of those men who had gone to spy out the land, only Joshua son of Nun and Caleb son of Jephunneh remained alive.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 39] And when Moses relayed these words to all the Israelites, the people mourned bitterly.
[BSB | EN | OT | Numbers | Chapter 14 | Verse 40] Early the next morning they got up and went up toward the ridge of the hill country. “We have indeed sinned,” they said, “but we will go to the place the LORD has promised.”
[BSB | EN | OT | Numbers | Chapter 14 | Verse 41] But Moses said, “Why are you transgressing the commandment of the LORD? This will not succeed!
[BSB | EN | OT | Numbers | Chapter 14 | Verse 42] Do not go up, lest you be struck down by your enemies, because the LORD is not among you.
