[BSB | EN | OT | Numbers | Chapter 33 | Verse 1] These are the journeys of the Israelites when they came out of the land of Egypt by their divisions under the leadership of Moses and Aaron.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 2] At the LORD’s command, Moses recorded the stages of their journey. These are the stages listed by their starting points:
[BSB | EN | OT | Numbers | Chapter 33 | Verse 3] On the fifteenth day of the first month, on the day after the Passover, the Israelites set out from Rameses. They marched out defiantly in full view of all the Egyptians,
[BSB | EN | OT | Numbers | Chapter 33 | Verse 4] who were burying all their firstborn, whom the LORD had struck down among them; for the LORD had executed judgment against their gods.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 5] The Israelites set out from Rameses and camped at Succoth.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 6] They set out from Succoth and camped at Etham, on the edge of the wilderness.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 7] They set out from Etham and turned back to Pi-hahiroth, opposite Baal-zephon, and they camped near Migdol.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 8] They set out from Pi-hahiroth and crossed through the sea, into the wilderness, and they journeyed three days into the Wilderness of Etham and camped at Marah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 9] They set out from Marah and came to Elim, where there were twelve springs and seventy palm trees, and they camped there.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 10] They set out from Elim and camped by the Red Sea.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 11] They set out from the Red Sea and camped in the Desert of Sin.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 12] They set out from the Desert of Sin and camped at Dophkah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 13] They set out from Dophkah and camped at Alush.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 14] They set out from Alush and camped at Rephidim, where there was no water for the people to drink.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 15] They set out from Rephidim and camped in the Wilderness of Sinai.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 16] They set out from the Wilderness of Sinai and camped at Kibroth-hattaavah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 17] They set out from Kibroth-hattaavah and camped at Hazeroth.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 18] They set out from Hazeroth and camped at Rithmah.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 19] They set out from Rithmah and camped at Rimmon-perez.
[BSB | EN | OT | Numbers | Chapter 33 | Verse 20] They set out from Rimmon-perez and camped at Libnah.
