[BSB | EN | OT | Numbers | Chapter 1 | Verse 1] On the first day of the second month of the second year after the Israelites had come out of the land of Egypt, the LORD spoke to Moses in the Tent of Meeting in the Wilderness of Sinai. He said:
[BSB | EN | OT | Numbers | Chapter 1 | Verse 2] “Take a census of the whole congregation of Israel by their clans and families, listing every man by name, one by one.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 3] You and Aaron are to number those who are twenty years of age or older by their divisions—everyone who can serve in Israel’s army.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 4] And one man from each tribe, the head of each family, must be there with you.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 5] These are the names of the men who are to assist you: From the tribe of Reuben, Elizur son of Shedeur;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 6] from Simeon, Shelumiel son of Zurishaddai;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 7] from Judah, Nahshon son of Amminadab;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 8] from Issachar, Nethanel son of Zuar;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 9] from Zebulun, Eliab son of Helon;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 10] from the sons of Joseph: from Ephraim, Elishama son of Ammihud, and from Manasseh, Gamaliel son of Pedahzur;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 11] from Benjamin, Abidan son of Gideoni;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 12] from Dan, Ahiezer son of Ammishaddai;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 13] from Asher, Pagiel son of Ocran;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 14] from Gad, Eliasaph son of Deuel;
[BSB | EN | OT | Numbers | Chapter 1 | Verse 15] and from Naphtali, Ahira son of Enan.”
[BSB | EN | OT | Numbers | Chapter 1 | Verse 16] These men were appointed from the congregation; they were the leaders of the tribes of their fathers, the heads of the clans of Israel.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 17] So Moses and Aaron took these men who had been designated by name,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 18] and on the first day of the second month they assembled the whole congregation and recorded their ancestry by clans and families, counting one by one the names of those twenty years of age or older,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 19] just as the LORD had commanded Moses. So Moses numbered them in the Wilderness of Sinai:
[BSB | EN | OT | Numbers | Chapter 1 | Verse 20] From the sons of Reuben, the firstborn of Israel, according to the records of their clans and families, counting one by one the names of every male twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 21] those registered to the tribe of Reuben numbered 46,500.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 22] From the sons of Simeon, according to the records of their clans and families, counting one by one the names of every male twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 23] those registered to the tribe of Simeon numbered 59,300.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 24] From the sons of Gad, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 25] those registered to the tribe of Gad numbered 45,650.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 26] From the sons of Judah, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 27] those registered to the tribe of Judah numbered 74,600.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 28] From the sons of Issachar, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 29] those registered to the tribe of Issachar numbered 54,400.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 30] From the sons of Zebulun, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 31] those registered to the tribe of Zebulun numbered 57,400.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 32] From the sons of Joseph: From the sons of Ephraim, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 33] those registered to the tribe of Ephraim numbered 40,500.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 34] And from the sons of Manasseh, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 35] those registered to the tribe of Manasseh numbered 32,200.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 36] From the sons of Benjamin, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 37] those registered to the tribe of Benjamin numbered 35,400.
[BSB | EN | OT | Numbers | Chapter 1 | Verse 38] From the sons of Dan, according to the records of their clans and families, counting the names of all those twenty years of age or older who could serve in the army,
[BSB | EN | OT | Numbers | Chapter 1 | Verse 39] those registered to the tribe of Dan numbered 62,700.
