[BSB | EN | OT | Numbers | Chapter 29 | Verse 1] “On the first day of the seventh month, you are to hold a sacred assembly, and you must not do any regular work. This will be a day for you to sound the trumpets.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 2] As a pleasing aroma to the LORD, you are to present a burnt offering of one young bull, one ram, and seven male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 3] together with their grain offerings of fine flour mixed with oil—three-tenths of an ephah with the bull, two-tenths of an ephah with the ram,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 4] and a tenth of an ephah with each of the seven male lambs.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 5] Include one male goat as a sin offering to make atonement for you.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 6] These are in addition to the monthly and daily burnt offerings with their prescribed grain offerings and drink offerings. They are a pleasing aroma, an offering made by fire to the LORD.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 7] On the tenth day of this seventh month, you are to hold a sacred assembly, and you shall humble yourselves; you must not do any work.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 8] Present as a pleasing aroma to the LORD a burnt offering of one young bull, one ram, and seven male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 9] together with their grain offerings of fine flour mixed with oil—three-tenths of an ephah with the bull, two-tenths of an ephah with the ram,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 10] and a tenth of an ephah with each of the seven lambs.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 11] Include one male goat for a sin offering, in addition to the sin offering of atonement and the regular burnt offering with its grain offering and drink offerings.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 12] On the fifteenth day of the seventh month, you are to hold a sacred assembly; you must not do any regular work, and you shall observe a feast to the LORD for seven days.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 13] As a pleasing aroma to the LORD, you are to present an offering made by fire, a burnt offering of thirteen young bulls, two rams, and fourteen male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 14] along with the grain offering of three-tenths of an ephah of fine flour mixed with oil with each of the thirteen bulls, two-tenths of an ephah with each of the two rams,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 15] and a tenth of an ephah with each of the fourteen lambs.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 16] Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 17] On the second day you are to present twelve young bulls, two rams, and fourteen male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 18] along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 19] Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 20] On the third day you are to present eleven bulls, two rams, and fourteen male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 21] along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 22] Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 23] On the fourth day you are to present ten bulls, two rams, and fourteen male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 24] along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 25] Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 26] On the fifth day you are to present nine bulls, two rams, and fourteen male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 27] along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 28] Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 29] On the sixth day you are to present eight bulls, two rams, and fourteen male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 30] along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 31] Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 32] On the seventh day you are to present seven bulls, two rams, and fourteen male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 33] along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 34] Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 35] On the eighth day you are to hold a solemn assembly; you must not do any regular work.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 36] As a pleasing aroma to the LORD, you are to present an offering made by fire, a burnt offering of one bull, one ram, and seven male lambs a year old, all unblemished,
[BSB | EN | OT | Numbers | Chapter 29 | Verse 37] along with the grain and drink offerings for the bulls, rams, and lambs, according to the number prescribed.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 38] Include one male goat as a sin offering, in addition to the regular burnt offering with its grain offering and drink offering.
[BSB | EN | OT | Numbers | Chapter 29 | Verse 39] You are to present these offerings to the LORD at your appointed times, in addition to your vow and freewill offerings, whether burnt offerings, grain offerings, drink offerings, or peace offerings.”
