[BSB | EN | OT | Numbers | Chapter 9 | Verse 1] In the first month of the second year after Israel had come out of the land of Egypt, the LORD spoke to Moses in the Wilderness of Sinai:
[BSB | EN | OT | Numbers | Chapter 9 | Verse 2] “The Israelites are to observe the Passover at its appointed time.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 3] You are to observe it at the appointed time, at twilight on the fourteenth day of this month, in accordance with its statutes and ordinances.”
[BSB | EN | OT | Numbers | Chapter 9 | Verse 4] So Moses told the Israelites to observe the Passover,
[BSB | EN | OT | Numbers | Chapter 9 | Verse 5] and they did so in the Wilderness of Sinai, at twilight on the fourteenth day of the first month. The Israelites did everything just as the LORD had commanded Moses.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 6] But there were some men who were unclean due to a dead body, so they could not observe the Passover on that day. And they came before Moses and Aaron that same day
[BSB | EN | OT | Numbers | Chapter 9 | Verse 7] and said to Moses, “We are unclean because of a dead body, but why should we be excluded from presenting the LORD’s offering with the other Israelites at the appointed time?”
[BSB | EN | OT | Numbers | Chapter 9 | Verse 8] “Wait here until I find out what the LORD commands concerning you,” Moses replied.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 9] Then the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 9 | Verse 10] “Tell the Israelites: ‘When any one of you or your descendants is unclean because of a dead body, or is away on a journey, he may still observe the Passover to the LORD.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 11] Such people are to observe it at twilight on the fourteenth day of the second month. They are to eat the lamb, together with unleavened bread and bitter herbs;
[BSB | EN | OT | Numbers | Chapter 9 | Verse 12] they may not leave any of it until morning or break any of its bones. They must observe the Passover according to all its statutes.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 13] But if a man who is ceremonially clean and is not on a journey still fails to observe the Passover, he must be cut off from his people, because he did not present the LORD’s offering at its appointed time. That man will bear the consequences of his sin.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 14] If a foreigner dwelling among you wants to observe the Passover to the LORD, he is to do so according to the Passover statute and its ordinances. You are to apply the same statute to both the foreigner and the native of the land.’”
[BSB | EN | OT | Numbers | Chapter 9 | Verse 15] On the day that the tabernacle, the Tent of the Testimony, was set up, the cloud covered it and appeared like fire above the tabernacle from evening until morning.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 16] It remained that way continually; the cloud would cover the tabernacle by day, and at night it would appear like fire.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 17] Whenever the cloud was lifted from above the Tent, the Israelites would set out, and wherever the cloud settled, there the Israelites would camp.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 18] At the LORD’s command the Israelites set out, and at the LORD’s command they camped. As long as the cloud remained over the tabernacle, they remained encamped.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 19] Even when the cloud lingered over the tabernacle for many days, the Israelites kept the LORD’s charge and did not set out.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 20] Sometimes the cloud remained over the tabernacle for only a few days, and they would camp at the LORD’s command and set out at the LORD’s command.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 21] Sometimes the cloud remained only from evening until morning, and when it lifted in the morning, they would set out. Whether it was by day or by night, when the cloud was taken up, they would set out.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 22] Whether the cloud lingered for two days, a month, or longer, the Israelites camped and did not set out as long as the cloud remained over the tabernacle; but when it was lifted, they would set out.
[BSB | EN | OT | Numbers | Chapter 9 | Verse 23] They camped at the LORD’s command, and they set out at the LORD’s command; they carried out the LORD’s charge according to His command through Moses.
