[BSB | EN | OT | Numbers | Chapter 4 | Verse 1] Then the LORD said to Moses and Aaron,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 2] “Take a census of the Kohathites among the Levites by their clans and families,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 3] men from thirty to fifty years old—everyone who is qualified to serve in the work at the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 4] This service of the Kohathites at the Tent of Meeting regards the most holy things.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 5] Whenever the camp sets out, Aaron and his sons are to go in, take down the veil of the curtain, and cover the ark of the Testimony with it.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 6] They are to place over this a covering of fine leather, spread a solid blue cloth over it, and insert its poles.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 7] Over the table of the Presence they are to spread a blue cloth and place the plates and cups on it, along with the bowls and pitchers for the drink offering. The regular bread offering is to remain on it.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 8] And they shall spread a scarlet cloth over them, cover them with fine leather, and insert the poles.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 9] They are to take a blue cloth and cover the lampstand used for light, together with its lamps, wick trimmers, and trays, as well as the jars of oil with which to supply it.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 10] Then they shall wrap it and all its utensils inside a covering of fine leather and put it on the carrying frame.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 11] Over the gold altar they are to spread a blue cloth, cover it with fine leather, and insert the poles.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 12] They are to take all the utensils for serving in the sanctuary, place them in a blue cloth, cover them with fine leather, and put them on the carrying frame.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 13] Then they shall remove the ashes from the bronze altar, spread a purple cloth over it,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 14] and place on it all the vessels used to serve there: the firepans, meat forks, shovels, and sprinkling bowls—all the equipment of the altar. They are to spread over it a covering of fine leather and insert the poles.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 15] When Aaron and his sons have finished covering the holy objects and all their equipment, as soon as the camp is ready to move, the Kohathites shall come and do the carrying. But they must not touch the holy objects, or they will die. These are the transportation duties of the Kohathites regarding the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 16] Eleazar son of Aaron the priest shall oversee the oil for the light, the fragrant incense, the daily grain offering, and the anointing oil. He has oversight of the entire tabernacle and everything in it, including the holy objects and their utensils.”
[BSB | EN | OT | Numbers | Chapter 4 | Verse 17] Then the LORD said to Moses and Aaron,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 18] “Do not allow the Kohathite tribal clans to be cut off from among the Levites.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 19] In order that they may live and not die when they come near the most holy things, do this for them: Aaron and his sons are to go in and assign each man his task and what he is to carry.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 20] But the Kohathites are not to go in and look at the holy objects, even for a moment, or they will die.”
[BSB | EN | OT | Numbers | Chapter 4 | Verse 21] And the LORD said to Moses,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 22] “Take a census of the Gershonites as well, by their families and clans,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 23] from thirty to fifty years old, counting everyone who comes to serve in the work at the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 24] This is the service of the Gershonite clans regarding work and transport:
[BSB | EN | OT | Numbers | Chapter 4 | Verse 25] They are to carry the curtains of the tabernacle, the Tent of Meeting with the covering of fine leather over it, the curtains for the entrance to the Tent of Meeting,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 26] the curtains of the courtyard, and the curtains for the entrance at the gate of the courtyard that surrounds the tabernacle and altar, along with their ropes and all the equipment for their service. The Gershonites will do all that needs to be done with these items.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 27] All the service of the Gershonites—all their transport duties and other work—is to be done at the direction of Aaron and his sons; you are to assign to them all that they are responsible to carry.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 28] This is the service of the Gershonite clans at the Tent of Meeting, and their duties shall be under the direction of Ithamar son of Aaron the priest.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 29] As for the sons of Merari, you are to number them by their clans and families,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 30] from thirty to fifty years old, counting everyone who comes to serve in the work of the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 31] This is the duty for all their service at the Tent of Meeting: to carry the frames of the tabernacle with its crossbars, posts, and bases,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 32] and the posts of the surrounding courtyard with their bases, tent pegs, and ropes, including all their equipment and everything related to their use. You shall assign by name the items that they are responsible to carry.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 33] This is the service of the Merarite clans according to all their work at the Tent of Meeting, under the direction of Ithamar son of Aaron the priest.”
[BSB | EN | OT | Numbers | Chapter 4 | Verse 34] So Moses, Aaron, and the leaders of the congregation numbered the Kohathites by their clans and families,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 35] everyone from thirty to fifty years old who came to serve in the work at the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 36] And those numbered by their clans totaled 2,750.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 37] These were counted from the Kohathite clans, everyone who could serve at the Tent of Meeting. Moses and Aaron numbered them according to the command of the LORD through Moses.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 38] Then the Gershonites were numbered by their clans and families,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 39] everyone from thirty to fifty years old who came to serve in the work at the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 40] And those numbered by their clans and families totaled 2,630.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 41] These were counted from the Gershonite clans who served at the Tent of Meeting, whom Moses and Aaron counted at the LORD’s command.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 42] And the Merarites were numbered by their clans and families,
[BSB | EN | OT | Numbers | Chapter 4 | Verse 43] everyone from thirty to fifty years old who came to serve in the work at the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 44] The men registered by their clans numbered 3,200.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 45] These were counted from the Merarite clans, whom Moses and Aaron numbered at the LORD’s command through Moses.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 46] So Moses, Aaron, and the leaders of Israel numbered by their clans and families all the Levites
[BSB | EN | OT | Numbers | Chapter 4 | Verse 47] from thirty to fifty years old who came to do the work of serving and carrying the Tent of Meeting.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 48] And the number of men was 8,580.
[BSB | EN | OT | Numbers | Chapter 4 | Verse 49] At the LORD’s command they were numbered through Moses and each one was assigned his work and burden, as the LORD had commanded Moses.
