[BSB | EN | OT | Numbers | Chapter 27 | Verse 1] Now the daughters of Zelophehad son of Hepher, the son of Gilead, the son of Machir, the son of Manasseh, belonged to the clans of Manasseh son of Joseph. These were the names of his daughters: Mahlah, Noah, Hoglah, Milcah, and Tirzah. They approached
[BSB | EN | OT | Numbers | Chapter 27 | Verse 2] the entrance to the Tent of Meeting, stood before Moses, Eleazar the priest, the leaders, and the whole congregation, and said,
[BSB | EN | OT | Numbers | Chapter 27 | Verse 3] “Our father died in the wilderness, but he was not among the followers of Korah who gathered together against the LORD. Instead, he died because of his own sin, and he had no sons.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 4] Why should the name of our father disappear from his clan because he had no sons? Give us property among our father’s brothers.”
[BSB | EN | OT | Numbers | Chapter 27 | Verse 5] So Moses brought their case before the LORD,
[BSB | EN | OT | Numbers | Chapter 27 | Verse 6] and the LORD answered him,
[BSB | EN | OT | Numbers | Chapter 27 | Verse 7] “The daughters of Zelophehad speak correctly. You certainly must give them property as an inheritance among their father’s brothers, and transfer their father’s inheritance to them.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 8] Furthermore, you shall say to the Israelites, ‘If a man dies and leaves no son, you are to transfer his inheritance to his daughter.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 9] If he has no daughter, give his inheritance to his brothers.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 10] If he has no brothers, give his inheritance to his father’s brothers.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 11] And if his father has no brothers, give his inheritance to the next of kin from his clan, that he may take possession of it. This is to be a statutory ordinance for the Israelites, as the LORD has commanded Moses.’”
[BSB | EN | OT | Numbers | Chapter 27 | Verse 12] Then the LORD said to Moses, “Go up this mountain of the Abarim range and see the land that I have given the Israelites.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 13] After you have seen it, you too will be gathered to your people, as your brother Aaron was;
[BSB | EN | OT | Numbers | Chapter 27 | Verse 14] for when the congregation contended in the Wilderness of Zin, both of you rebelled against My command to show My holiness in their sight regarding the waters.” Those were the waters of Meribah in Kadesh, in the Wilderness of Zin.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 15] So Moses appealed to the LORD,
[BSB | EN | OT | Numbers | Chapter 27 | Verse 16] “May the LORD, the God of the spirits of all flesh, appoint a man over the congregation
[BSB | EN | OT | Numbers | Chapter 27 | Verse 17] who will go out and come in before them, and who will lead them out and bring them in, so that the congregation of the LORD will not be like sheep without a shepherd.”
[BSB | EN | OT | Numbers | Chapter 27 | Verse 18] And the LORD replied to Moses, “Take Joshua son of Nun, a man with the Spirit in him, and lay your hands on him.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 19] Have him stand before Eleazar the priest and the whole congregation, and commission him in their sight.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 20] Confer on him some of your authority, so that the whole congregation of Israel will obey him.
[BSB | EN | OT | Numbers | Chapter 27 | Verse 21] He shall stand before Eleazar the priest, who will seek counsel for him before the LORD by the judgment of the Urim. At his command, he and all the Israelites with him—the entire congregation—will go out and come in.”
[BSB | EN | OT | Numbers | Chapter 27 | Verse 22] Moses did as the LORD had commanded him. He took Joshua, had him stand before Eleazar the priest and the whole congregation,
[BSB | EN | OT | Numbers | Chapter 27 | Verse 23] and laid his hands on him and commissioned him, as the LORD had instructed through Moses.
