[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 1] શું અમે ફરી પોતાની પ્રશંસા કરીએ છીએ? કે શું જેમ બીજા કેટલાકને તેમ, અમને તમારા ઉપર કે તમારી પાસેથી, ભલામણના પત્રો જોઈએ છે?
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 2] અમારા હૃદયમાં લખેલો અને સર્વ માણસથી જણાયેલો તથા વંચાયેલો એવો અમારો પત્ર તો તમે છો.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 3] તમે ખ્રિસ્તનાં પત્રની જેમ દેખાઓ છો જેની અમે સેવા કરેલી; તે શાહીથી નહિ પણ જીવતા ઈશ્વરના આત્માથી, પથ્થરની પાટીઓ પર નહિ પણ માનવીય હૃદયરૂપી પાટીઓ પર લખેલો છે.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 4] એવો ભરોસો ખ્રિસ્તને આશરે અમને ઈશ્વર પર છે.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 5] અમે પોતે પોતાનાથી કંઈ વિચારવા સમર્થ છીએ એવું નથી; પણ અમારું સામર્થ્ય ઈશ્વરથી છે;
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 6] તેમણે પણ અમને નવા કરારના, એટલે અક્ષરના નહિ પણ આત્માનાં, યોગ્ય સેવકો કર્યા, કેમ કે અક્ષર મારી નાખે છે, પણ આત્મા જીવાડે છે.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 7] અને મરણની સેવા જેનાં અક્ષરો પથ્થરો પર કોતરેલા હતા; તે જો એટલી ગૌરવવાળી હતી કે ઇઝરાયલી લોકો મૂસાના મુખ પરનું તેજ જે ટળી જનારું હતું તે તેજને લીધે તેના મુખ પર ધારીને જોઈ શક્યાં નહિ.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 8] તો તે કરતાં આત્માની સેવા વધતી મહિમાવાન કેમ ન હોય?
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 9] કેમ કે જો દંડાજ્ઞાની સેવાનો મહિમા હતો, તો ન્યાયીપણાની સેવા મહિમામાં કેટલી બધી અધિક છે!
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 10] અને ખરેખર, જે મહિમાવંત થયેલું હતું તે કરતાં બીજું અધિક મહિમાવંત થયાના કારણથી જાણે મહિમારહિત થયું.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 11] કેમ કે જે ટળી જવાનું હતું તે જો મહિમાવંત હતું, તો જે કાયમ ટકનાર તેનો મહિમા કેટલો વિશેષ છે!
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 12] એ માટે અમને એવી આશા હોવાથી, અમે બહુ નિર્ભયતાથી બોલીએ છીએ;
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 13] અને મૂસાની જેમ નહિ, કે જેણે ઇઝરાયલના દીકરાઓ ટળી જનારાં મહિમાનો અંત પણ નિહાળે નહિ માટે પોતાના મુખ પર પડદો નાખ્યો.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 14] પણ તેઓના મન કઠણ થયાં; કેમ કે આજ સુધી જૂનો કરાર વાંચતા તે પડદો એમનો એમ જ રહે છે; પણ તે તો ખ્રિસ્તમાં દૂર કરવામાં આવે છે.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 15] પણ આજ સુધી જયારે તેઓ મૂસાનાં પુસ્તકો વાંચે છે ત્યારે તેઓના હૃદય પર પડદો રહે છે;
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 16] પણ જયારે તે પ્રભુની તરફ ફરશે, ત્યારે તે પડદો ખસેડી નાખવામાં આવશે.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 17] હવે પ્રભુ તે આત્મા છે; અને જ્યાં પ્રભુનો આત્મા છે ત્યાં સ્વતંત્રતા છે.
[IRV | GU | NT | 2 Corinthians | Chapter 3 | Verse 18] પણ આપણે સહુ ઉઘાડે મુખે જેમ આરસીમાં, તેમ પ્રભુના મહિમાને નિહાળીને, પ્રભુના આત્માથી તે જ રૂપમાં અધિકાધિક મહિમા ધારણ કરતાં રૂપાંતર પામીએ છીએ.
