[IRV | TA | OT | Numbers | Chapter 16 | Verse 1] லேவிக்குப் பிறந்த கோகாத்தின் மகனாகிய இத்சேயாரின் மகன் கோராகு என்பவன் ரூபன் வம்சத்திலுள்ள எலியாபின் மகன்களாகிய தாத்தானையும் அபிராமையும் பேலேத்தின் மகனாகிய ஓனையும் கூட்டிக்கொண்டு,
[IRV | TA | OT | Numbers | Chapter 16 | Verse 2] இஸ்ரவேல் மக்களில் சபைக்குத் தலைவர்களும் சங்கத்திற்கு அழைக்கப்பட்டவர்களும் பிரபலமானவர்களுமாகிய 250 பேர்களோடும் கூட மோசேக்கு முன்பாக எழும்பி,
[IRV | TA | OT | Numbers | Chapter 16 | Verse 3] மோசேக்கும் ஆரோனுக்கும் விரோதமாகக் கூட்டம்கூடி, அவர்களை நோக்கி: “நீங்கள் மிஞ்சிப்போகிறீர்கள்; சபையார் எல்லோரும் பரிசுத்தமானவர்கள்; யெகோவா அவர்கள் நடுவில் இருக்கிறாரே; இப்படியிருக்க, யெகோவாவுடைய சபைக்கு மேலாக உங்களை ஏன் உயர்த்துகிறீர்கள்” என்றார்கள்.
[IRV | TA | OT | Numbers | Chapter 16 | Verse 4] மோசே அதைக் கேட்டபோது, முகங்குப்புற விழுந்தான்.
[IRV | TA | OT | Numbers | Chapter 16 | Verse 5] பின்பு அவன் கோராகையும் அவனுடைய எல்லாக் கூட்டத்தையும் நோக்கி: “நாளைக்குக் யெகோவா தம்முடையவன் இன்னான் என்றும், தம் அருகில் சேரத் தாம் கட்டளையிட்ட பரிசுத்தவான் இன்னான் என்றும் காண்பிப்பார்; அப்பொழுது எவனைத் தெரிந்துகொள்வாரோ, அவனைத் தம்மிடத்தில் சேரக் கட்டளையிடுவார்.
[IRV | TA | OT | Numbers | Chapter 16 | Verse 6] ஒன்று செய்யுங்கள்; கோராகே, கோராகின் கூட்டத்தார்களே, நீங்கள் எல்லோரும் தூபகலசங்களை எடுத்துக்கொண்டு,
[IRV | TA | OT | Numbers | Chapter 16 | Verse 7] நாளைக்கு அவைகளில் அக்கினி போட்டு, யெகோவாவுடைய சந்நிதியில் தூபவர்க்கம் போடுங்கள்; அப்பொழுது யெகோவா எவனைத் தெரிந்துகொள்வாரோ, அவன் பரிசுத்தவானாக இருப்பான்; லேவியின் சந்ததியாராகிய நீங்களே மிஞ்சிப்போகிறீர்கள்” என்றான்.
[IRV | TA | OT | Numbers | Chapter 16 | Verse 8] பின்னும் மோசே கோராகை நோக்கி: “லேவியின் சந்ததியாரே, கேளுங்கள்;
[IRV | TA | OT | Numbers | Chapter 16 | Verse 9] யெகோவாவுடைய வாசஸ்தலத்தின் பணிவிடைகளைச் செய்யவும், சபையாரின் முன்நின்று அவர்கள் செய்யவேண்டிய வேலைகளைச் செய்யவும், உங்களைத் தம் அருகில் சேரச்செய்யும்படி இஸ்ரவேலின் தேவன் இஸ்ரவேல் சபையாரிலிருந்து உங்களைப் பிரித்தெடுத்ததும்,
[IRV | TA | OT | Numbers | Chapter 16 | Verse 10] அவர் உன்னையும் உன்னோடு லேவியின் சந்ததியாராகிய உன்னுடைய எல்லாச் சகோதரனையும் சேரச்செய்ததும், உங்களுக்கு அற்பகாரியமோ? இப்பொழுது ஆசாரியப்பட்டத்தையும் தேடுகிறீர்களோ?
[IRV | TA | OT | Numbers | Chapter 16 | Verse 11] இதற்காக நீயும் உன்னுடைய கூட்டத்தார் அனைவரும் யெகோவாவுடைய விரோதமாகவே கூட்டம்கூடினீர்கள்; ஆரோனுக்கு விரோதமாக நீங்கள் முறுமுறுக்கிறதற்கு அவன் யார்” என்றான்.
[IRV | TA | OT | Numbers | Chapter 16 | Verse 12] பின்பு மோசே எலியாபின் மகன்களாகிய தாத்தானையும் அபிராமையும் அழைத்தனுப்பினான். அவர்கள்: “நாங்கள் வருகிறதில்லை;
[IRV | TA | OT | Numbers | Chapter 16 | Verse 13] இந்த வனாந்திரத்தில் எங்களைக் கொன்றுபோடும்படி, நல்ல விளைச்சல் உள்ள செழிப்பான தேசத்திலிருந்து எங்களைக் கொண்டு வந்தது அற்பகாரியமோ, எங்கள்மேல் அதிகாரமும் செய்யப்பார்கிறாயோ?
