[BSB | EN | OT | Proverbs | Chapter 16 | Verse 1] The plans of the heart belong to man, but the reply of the tongue is from the LORD.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 2] All a man’s ways are pure in his own eyes, but his motives are weighed out by the LORD.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 3] Commit your works to the LORD and your plans will be achieved.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 4] The LORD has made everything for His purpose— even the wicked for the day of disaster.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 5] Everyone who is proud in heart is detestable to the LORD; be assured that he will not go unpunished.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 6] By loving devotion and faithfulness iniquity is atoned for, and by the fear of the LORD one turns aside from evil.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 7] When a man’s ways please the LORD, He makes even the man’s enemies live at peace with him.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 8] Better a little with righteousness than great gain with injustice.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 9] A man’s heart plans his course, but the LORD determines his steps.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 10] A divine verdict is on the lips of a king; his mouth must not betray justice.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 11] Honest scales and balances are from the LORD; all the weights in the bag are His concern.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 12] Wicked behavior is detestable to kings, for a throne is established through righteousness.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 13] Righteous lips are a king’s delight, and he who speaks honestly is beloved.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 14] The wrath of a king is a messenger of death, but a wise man will pacify it.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 15] When a king’s face brightens, there is life; his favor is like a rain cloud in spring.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 16] How much better to acquire wisdom than gold! To gain understanding is more desirable than silver.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 17] The highway of the upright leads away from evil; he who guards his way protects his life.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 18] Pride goes before destruction, and a haughty spirit before a fall.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 19] It is better to be lowly in spirit among the humble than to divide the spoil with the proud.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 20] Whoever heeds instruction will find success, and blessed is he who trusts in the LORD.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 21] The wise in heart are called discerning, and pleasant speech promotes instruction.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 22] Understanding is a fountain of life to its possessor, but the discipline of fools is folly.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 23] The heart of the wise man instructs his mouth and adds persuasiveness to his lips.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 24] Pleasant words are a honeycomb, sweet to the soul and healing to the bones.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 25] There is a way that seems right to a man, but its end is the way of death.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 26] A worker’s appetite works for him because his hunger drives him onward.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 27] A worthless man digs up evil, and his speech is like a scorching fire.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 28] A perverse man spreads dissension, and a gossip divides close friends.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 29] A violent man entices his neighbor and leads him down a path that is not good.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 30] He who winks his eye devises perversity; he who purses his lips is bent on evil.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 31] Gray hair is a crown of glory; it is attained along the path of righteousness.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 32] He who is slow to anger is better than a warrior, and he who controls his temper is greater than one who captures a city.
[BSB | EN | OT | Proverbs | Chapter 16 | Verse 33] The lot is cast into the lap, but its every decision is from the LORD.
