[BSB | EN | OT | Proverbs | Chapter 21 | Verse 1] The king’s heart is a waterway in the hand of the LORD; He directs it where He pleases.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 2] All a man’s ways seem right to him, but the LORD weighs the heart.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 3] To do righteousness and justice is more desirable to the LORD than sacrifice.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 4] Haughty eyes and a proud heart— the guides of the wicked—are sin.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 5] The plans of the diligent bring plenty, as surely as haste leads to poverty.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 6] Making a fortune by a lying tongue is a vanishing mist, a deadly pursuit.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 7] The violence of the wicked will sweep them away because they refuse to do what is just.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 8] The way of a guilty man is crooked, but the conduct of the innocent is upright.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 9] Better to live on a corner of the roof than to share a house with a quarrelsome wife.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 10] The soul of the wicked man craves evil; his neighbor finds no favor in his eyes.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 11] When a mocker is punished, the simple gain wisdom; and when a wise man is instructed, he acquires knowledge.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 12] The Righteous One considers the house of the wicked and brings the wicked to ruin.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 13] Whoever shuts his ears to the cry of the poor, he too shall cry out and receive no answer.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 14] A gift in secret soothes anger, and a covert bribe pacifies great wrath.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 15] Justice executed is a joy to the righteous, but a terror to the workers of iniquity.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 16] The man who strays from the path of understanding will rest in the assembly of the dead.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 17] He who loves pleasure will become poor; the one who loves wine and oil will never be rich.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 18] The wicked become a ransom for the righteous, and the faithless for the upright.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 19] Better to live in the desert than with a contentious and ill-tempered wife.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 20] Precious treasures and oil are in the dwelling of the wise, but a foolish man consumes them.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 21] He who pursues righteousness and loving devotion finds life, righteousness, and honor.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 22] A wise man scales the city of the mighty and pulls down the stronghold in which they trust.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 23] He who guards his mouth and tongue keeps his soul from distress.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 24] Mocker is the name of the proud and arrogant man— of him who acts with excessive pride.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 25] The craving of the slacker kills him because his hands refuse to work.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 26] All day long he covets more, but the righteous give without restraint.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 27] The sacrifice of the wicked is detestable— how much more so when brought with ill intent!
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 28] A lying witness will perish, but the man who listens to truth will speak forever.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 29] A wicked man hardens his face, but the upright man makes his way sure.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 30] There is no wisdom, no understanding, no counsel that can prevail against the LORD.
[BSB | EN | OT | Proverbs | Chapter 21 | Verse 31] A horse is prepared for the day of battle, but victory is of the LORD.
