[BSB | EN | OT | Proverbs | Chapter 9 | Verse 1] Wisdom has built her house; she has carved out her seven pillars.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 2] She has prepared her meat and mixed her wine; she has also set her table.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 3] She has sent out her maidservants; she calls out from the heights of the city.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 4] “Whoever is simple, let him turn in here!” she says to him who lacks judgment.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 5] “Come, eat my bread and drink the wine I have mixed.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 6] Leave your folly behind, and you will live; walk in the way of understanding.”
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 7] He who corrects a mocker brings shame on himself; he who rebukes a wicked man taints himself.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 8] Do not rebuke a mocker, or he will hate you; rebuke a wise man, and he will love you.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 9] Instruct a wise man, and he will be wiser still; teach a righteous man, and he will increase his learning.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 10] The fear of the LORD is the beginning of wisdom, and knowledge of the Holy One is understanding.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 11] For through wisdom your days will be multiplied, and years will be added to your life.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 12] If you are wise, you are wise to your own advantage; but if you scoff, you alone will bear the consequences.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 13] The woman named Folly is loud; she is naive and knows nothing.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 14] She sits at the door of her house, on a seat in the heights of the city,
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 15] calling out to those who pass by, who make their paths straight.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 16] “Whoever is simple, let him turn in here!” she says to him who lacks judgment.
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 17] “Stolen water is sweet, and bread eaten in secret is tasty!”
[BSB | EN | OT | Proverbs | Chapter 9 | Verse 18] But they do not know that the dead are there, that her guests are in the depths of Sheol.
