[BSB | EN | OT | Proverbs | Chapter 11 | Verse 1] Dishonest scales are an abomination to the LORD, but an accurate weight is His delight.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 2] When pride comes, disgrace follows, but with humility comes wisdom.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 3] The integrity of the upright guides them, but the perversity of the faithless destroys them.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 4] Riches are worthless in the day of wrath, but righteousness brings deliverance from death.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 5] The righteousness of the blameless directs their path, but the wicked fall by their own wickedness.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 6] The righteousness of the upright delivers them, but the faithless are trapped by their own desires.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 7] When the wicked man dies, his hope perishes, and the hope of his strength vanishes.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 8] The righteous man is delivered from trouble; in his place the wicked man goes in.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 9] With his mouth the ungodly man destroys his neighbor, but through knowledge the righteous are rescued.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 10] When the righteous thrive, the city rejoices, and when the wicked perish, there are shouts of joy.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 11] By the blessing of the upright a city is built up, but by the mouth of the wicked it is torn down.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 12] Whoever shows contempt for his neighbor lacks judgment, but a man of understanding remains silent.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 13] A gossip reveals a secret, but a trustworthy person keeps a confidence.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 14] For lack of guidance, a nation falls, but with many counselors comes deliverance.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 15] He who puts up security for a stranger will surely suffer, but the one who hates indebtedness is secure.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 16] A gracious woman attains honor, but ruthless men gain only wealth.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 17] A kind man benefits himself, but a cruel man brings trouble on himself.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 18] The wicked man earns an empty wage, but he who sows righteousness reaps a true reward.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 19] Genuine righteousness leads to life, but the pursuit of evil brings death.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 20] The perverse in heart are an abomination to the LORD, but the blameless in their walk are His delight.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 21] Be assured that the wicked will not go unpunished, but the offspring of the righteous will escape.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 22] Like a gold ring in a pig’s snout is a beautiful woman who lacks discretion.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 23] The desire of the righteous leads only to good, but the hope of the wicked brings wrath.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 24] One gives freely, yet gains even more; another withholds what is right, only to become poor.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 25] A generous soul will prosper, and he who refreshes others will himself be refreshed.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 26] The people will curse the hoarder of grain, but blessing will crown the one who sells it.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 27] He who searches out good finds favor, but evil will come to him who seeks it.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 28] He who trusts in his riches will fall, but the righteous will thrive like foliage.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 29] He who brings trouble on his house will inherit the wind, and the fool will be servant to the wise of heart.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 30] The fruit of the righteous is a tree of life, and he who wins souls is wise.
[BSB | EN | OT | Proverbs | Chapter 11 | Verse 31] If the righteous receive their due on earth, how much more the ungodly and the sinner!
