[BSB | EN | OT | Proverbs | Chapter 30 | Verse 1] These are the words of Agur son of Jakeh—the burden that this man declared to Ithiel: “I am weary, O God, and worn out.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 2] Surely I am the most ignorant of men, and I lack the understanding of a man.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 3] I have not learned wisdom, and I have no knowledge of the Holy One.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 4] Who has ascended to heaven and come down? Who has gathered the wind in His hands? Who has bound up the waters in His cloak? Who has established all the ends of the earth? What is His name, and what is the name of His Son— surely you know!
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 5] Every word of God is flawless; He is a shield to those who take refuge in Him.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 6] Do not add to His words, lest He rebuke you and prove you a liar.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 7] Two things I ask of You— do not refuse me before I die:
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 8] Keep falsehood and deceitful words far from me. Give me neither poverty nor riches; feed me with the bread that is my portion.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 9] Otherwise, I may have too much and deny You, saying, ‘Who is the LORD?’ Or I may become poor and steal, profaning the name of my God.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 10] Do not slander a servant to his master, or he will curse you, and you will bear the guilt.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 11] There is a generation of those who curse their fathers and do not bless their mothers.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 12] There is a generation of those who are pure in their own eyes and yet unwashed of their filth.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 13] There is a generation—how haughty are their eyes and pretentious are their glances—
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 14] there is a generation whose teeth are swords and whose jaws are knives, devouring the oppressed from the earth and the needy from among men.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 15] The leech has two daughters: Give and Give. There are three things that are never satisfied, four that never say, ‘Enough!’:
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 16] Sheol, the barren womb, land never satisfied with water, and fire that never says, ‘Enough!’
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 17] As for the eye that mocks a father and scorns obedience to a mother, may the ravens of the valley pluck it out and young vultures devour it.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 18] There are three things too wonderful for me, four that I cannot understand:
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 19] the way of an eagle in the sky, the way of a snake on a rock, the way of a ship at sea, and the way of a man with a maiden.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 20] This is the way of an adulteress: She eats and wipes her mouth and says, ‘I have done nothing wrong.’
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 21] Under three things the earth trembles, under four it cannot bear up:
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 22] a servant who becomes king, a fool who is filled with food,
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 23] an unloved woman who marries, and a maidservant who supplants her mistress.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 24] Four things on earth are small, yet they are exceedingly wise:
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 25] The ants are creatures of little strength, yet they store up their food in the summer;
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 26] the rock badgers are creatures of little power, yet they make their homes in the rocks;
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 27] the locusts have no king, yet they all advance in formation;
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 28] and the lizard can be caught in one’s hands, yet it is found in the palaces of kings.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 29] There are three things that are stately in their stride, and four that are impressive in their walk:
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 30] a lion, mighty among beasts, refusing to retreat before anything;
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 31] a strutting rooster; a he-goat; and a king with his army around him.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 32] If you have foolishly exalted yourself or if you have plotted evil, put your hand over your mouth.
[BSB | EN | OT | Proverbs | Chapter 30 | Verse 33] For as the churning of milk yields butter, and the twisting of the nose draws blood, so the stirring of anger brings forth strife.”
