[BSB | EN | OT | Proverbs | Chapter 31 | Verse 1] These are the words of King Lemuel—the burden that his mother taught him:
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 2] What shall I say, O my son? What, O son of my womb? What, O son of my vows?
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 3] Do not spend your strength on women or your vigor on those who ruin kings.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 4] It is not for kings, O Lemuel, it is not for kings to drink wine, or for rulers to crave strong drink,
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 5] lest they drink and forget what is decreed, depriving all the oppressed of justice.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 6] Give strong drink to one who is perishing, and wine to the bitter in soul.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 7] Let him drink and forget his poverty, and remember his misery no more.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 8] Open your mouth for those with no voice, for the cause of all the dispossessed.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 9] Open your mouth, judge righteously, and defend the cause of the poor and needy.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 10] A wife of noble character, who can find? She is far more precious than rubies.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 11] The heart of her husband trusts in her, and he lacks nothing of value.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 12] She brings him good and not harm all the days of her life.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 13] She selects wool and flax and works with eager hands.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 14] She is like the merchant ships, bringing her food from afar.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 15] She rises while it is still night to provide food for her household and portions for her maidservants.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 16] She appraises a field and buys it; from her earnings she plants a vineyard.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 17] She girds herself with strength and shows that her arms are strong.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 18] She sees that her gain is good, and her lamp is not extinguished at night.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 19] She stretches out her hands to the distaff and grasps the spindle with her fingers.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 20] She opens her arms to the poor and reaches out her hands to the needy.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 21] When it snows, she has no fear for her household, for they are all clothed in scarlet.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 22] She makes coverings for her bed; her clothing is fine linen and purple.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 23] Her husband is known at the city gate, where he sits among the elders of the land.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 24] She makes linen garments and sells them; she delivers sashes to the merchants.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 25] Strength and honor are her clothing, and she can laugh at the days to come.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 26] She opens her mouth with wisdom, and faithful instruction is on her tongue.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 27] She watches over the affairs of her household and does not eat the bread of idleness.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 28] Her children rise up and call her blessed; her husband praises her as well:
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 29] “Many daughters have done noble things, but you surpass them all!”
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 30] Charm is deceptive and beauty is fleeting, but a woman who fears the LORD is to be praised.
[BSB | EN | OT | Proverbs | Chapter 31 | Verse 31] Give her the fruit of her hands, and let her works praise her at the gates.
