[BSB | EN | OT | Proverbs | Chapter 24 | Verse 1] Do not envy wicked men or desire their company;
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 2] for their hearts devise violence, and their lips declare trouble.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 3] By wisdom a house is built and by understanding it is established;
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 4] through knowledge its rooms are filled with every precious and beautiful treasure.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 5] A wise man is strong, and a man of knowledge enhances his strength.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 6] Only with sound guidance should you wage war, and victory lies in a multitude of counselors.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 7] Wisdom is too high for a fool; he does not open his mouth in the meeting place.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 8] He who plots evil will be called a schemer.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 9] A foolish scheme is sin, and a mocker is detestable to men.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 10] If you faint in the day of distress, how small is your strength!
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 11] Rescue those being led away to death, and restrain those stumbling toward the slaughter.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 12] If you say, “Behold, we did not know about this,” does not He who weighs hearts consider it? Does not the One who guards your life know? Will He not repay a man according to his deeds?
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 13] Eat honey, my son, for it is good, and the honeycomb is sweet to your taste.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 14] Know therefore that wisdom is sweet to your soul. If you find it, there is a future for you, and your hope will never be cut off.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 15] Do not lie in wait, O wicked man, near the dwelling of the righteous; do not destroy his resting place.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 16] For though a righteous man may fall seven times, he still gets up; but the wicked stumble in bad times.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 17] Do not gloat when your enemy falls, and do not let your heart rejoice when he stumbles,
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 18] or the LORD will see and disapprove, and turn His wrath away from him.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 19] Do not fret over evildoers, and do not be envious of the wicked.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 20] For the evil man has no future; the lamp of the wicked will be extinguished.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 21] My son, fear the LORD and the king, and do not associate with the rebellious.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 22] For they will bring sudden destruction. Who knows what ruin they can bring?
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 23] These also are sayings of the wise: To show partiality in judgment is not good.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 24] Whoever tells the guilty, “You are innocent”— peoples will curse him, and nations will denounce him;
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 25] but it will go well with those who convict the guilty, and rich blessing will come upon them.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 26] An honest answer given is like a kiss on the lips.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 27] Complete your outdoor work and prepare your field; after that, you may build your house.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 28] Do not testify against your neighbor without cause, and do not deceive with your lips.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 29] Do not say, “I will do to him as he has done to me; I will repay the man according to his work.”
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 30] I went past the field of a slacker and by the vineyard of a man lacking judgment.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 31] Thorns had grown up everywhere, thistles had covered the ground, and the stone wall was broken down.
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 32] I observed and took it to heart; I looked and received instruction:
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 33] A little sleep, a little slumber, a little folding of the hands to rest,
[BSB | EN | OT | Proverbs | Chapter 24 | Verse 34] and poverty will come upon you like a robber, and need like a bandit.
