[BSB | EN | OT | Proverbs | Chapter 23 | Verse 1] When you sit down to dine with a ruler, consider carefully what is set before you,
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 2] and put a knife to your throat if you possess a great appetite.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 3] Do not crave his delicacies, for that food is deceptive.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 4] Do not wear yourself out to get rich; be wise enough to restrain yourself.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 5] When you glance at wealth, it disappears, for it makes wings for itself and flies like an eagle to the sky.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 6] Do not eat the bread of a stingy man, and do not crave his delicacies;
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 7] for he is keeping track, inwardly counting the cost. “Eat and drink,” he says to you, but his heart is not with you.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 8] You will vomit up what little you have eaten and waste your pleasant words.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 9] Do not speak to a fool, for he will despise the wisdom of your words.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 10] Do not move an ancient boundary stone or encroach on the fields of the fatherless,
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 11] for their Redeemer is strong; He will take up their case against you.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 12] Apply your heart to instruction and your ears to words of knowledge.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 13] Do not withhold discipline from a child; although you strike him with a rod, he will not die.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 14] Strike him with a rod, and you will deliver his soul from Sheol.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 15] My son, if your heart is wise, my own heart will indeed rejoice.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 16] My inmost being will rejoice when your lips speak what is right.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 17] Do not let your heart envy sinners, but always continue in the fear of the LORD.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 18] For surely there is a future, and your hope will not be cut off.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 19] Listen, my son, and be wise, and guide your heart on the right course.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 20] Do not join those who drink too much wine or gorge themselves on meat.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 21] For the drunkard and the glutton will come to poverty, and drowsiness will clothe them in rags.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 22] Listen to your father who gave you life, and do not despise your mother when she is old.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 23] Invest in truth and never sell it— in wisdom and instruction and understanding.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 24] The father of a righteous man will greatly rejoice, and he who fathers a wise son will delight in him.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 25] May your father and mother be glad, and may she who gave you birth rejoice!
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 26] My son, give me your heart, and let your eyes delight in my ways.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 27] For a prostitute is a deep pit, and an adulteress is a narrow well.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 28] Like a robber she lies in wait and multiplies the faithless among men.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 29] Who has woe? Who has sorrow? Who has contentions? Who has complaints? Who has needless wounds? Who has bloodshot eyes?
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 30] Those who linger over wine, who go to taste mixed drinks.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 31] Do not gaze at wine while it is red, when it sparkles in the cup and goes down smoothly.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 32] In the end it bites like a snake and stings like a viper.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 33] Your eyes will see strange things, and your mind will utter perversities.
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 34] You will be like one sleeping on the high seas or lying on the top of a mast:
[BSB | EN | OT | Proverbs | Chapter 23 | Verse 35] “They struck me, but I feel no pain! They beat me, but I did not know it! When can I wake up to search for another drink?”
