[BSB | EN | OT | Proverbs | Chapter 25 | Verse 1] These are additional proverbs of Solomon, which were copied by the men of Hezekiah king of Judah:
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 2] It is the glory of God to conceal a matter and the glory of kings to search it out.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 3] As the heavens are high and the earth is deep, so the hearts of kings cannot be searched.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 4] Remove the dross from the silver, and a vessel for a silversmith will come forth.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 5] Remove the wicked from the king’s presence, and his throne will be established in righteousness.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 6] Do not exalt yourself in the presence of the king, and do not stand in the place of great men;
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 7] for it is better that he says to you, “Come up here!” than that you should be demoted in the presence of the prince. Even what you have seen with your own eyes,
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 8] do not bring hastily to court. Otherwise, what will you do in the end when your neighbor puts you to shame?
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 9] Argue your case with your neighbor without betraying another’s confidence,
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 10] lest the one who hears may disgrace you, and your infamy never go away.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 11] A word fitly spoken is like apples of gold in settings of silver.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 12] Like an earring of gold or an ornament of fine gold is a wise man’s rebuke to a listening ear.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 13] Like the cold of snow in the time of harvest is a trustworthy messenger to those who send him; he refreshes the soul of his masters.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 14] Like clouds and wind without rain is the man who boasts of gifts never given.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 15] Through patience a ruler can be persuaded, and a gentle tongue can break a bone.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 16] If you find honey, eat just what you need, lest you have too much and vomit it up.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 17] Seldom set foot in your neighbor’s house, lest he grow weary and hate you.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 18] Like a club or sword or sharp arrow is a man who bears false witness against his neighbor.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 19] Like a broken tooth or a foot out of joint is confidence in a faithless man in time of trouble.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 20] Like one who removes a garment on a cold day or vinegar poured on a wound is one who sings songs to a heavy heart.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 21] If your enemy is hungry, give him food to eat, and if he is thirsty, give him water to drink.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 22] For in so doing, you will heap burning coals on his head, and the LORD will reward you.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 23] As the north wind brings forth rain, so a backbiting tongue brings angry looks.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 24] Better to live on a corner of the roof than to share a house with a quarrelsome wife.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 25] Like cold water to a weary soul is good news from a distant land.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 26] Like a muddied spring or a polluted well is a righteous man who gives way to the wicked.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 27] It is not good to eat too much honey or to search out one’s own glory.
[BSB | EN | OT | Proverbs | Chapter 25 | Verse 28] Like a city whose walls are broken down is a man who does not control his temper.
