[BSB | EN | OT | Proverbs | Chapter 6 | Verse 1] My son, if you have put up security for your neighbor, if you have struck hands in pledge with a stranger,
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 2] if you have been trapped by the words of your lips, ensnared by the words of your mouth,
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 3] then do this, my son, to free yourself, for you have fallen into your neighbor’s hands: Go, humble yourself, and press your plea with your neighbor.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 4] Allow no sleep to your eyes or slumber to your eyelids.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 5] Free yourself, like a gazelle from the hand of the hunter, like a bird from the snare of the fowler.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 6] Walk in the manner of the ant, O slacker; observe its ways and become wise.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 7] Without a commander, without an overseer or ruler,
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 8] it prepares its provisions in summer; it gathers its food at harvest.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 9] How long will you lie there, O slacker? When will you get up from your sleep?
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 10] A little sleep, a little slumber, a little folding of the hands to rest,
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 11] and poverty will come upon you like a robber, and need like a bandit.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 12] A worthless person, a wicked man, walks with a perverse mouth,
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 13] winking his eyes, speaking with his feet, and pointing with his fingers.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 14] With deceit in his heart he devises evil; he continually sows discord.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 15] Therefore calamity will come upon him suddenly; in an instant he will be shattered beyond recovery.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 16] There are six things that the LORD hates, seven that are detestable to Him:
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 17] haughty eyes, a lying tongue, hands that shed innocent blood,
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 18] a heart that devises wicked schemes, feet that run swiftly to evil,
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 19] a false witness who gives false testimony, and one who stirs up discord among brothers.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 20] My son, keep your father’s commandment, and do not forsake your mother’s teaching.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 21] Bind them always upon your heart; tie them around your neck.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 22] When you walk, they will guide you; when you lie down, they will watch over you; when you awake, they will speak to you.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 23] For this commandment is a lamp, this teaching is a light, and the reproofs of discipline are the way to life,
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 24] to keep you from the evil woman, from the smooth tongue of the adulteress.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 25] Do not lust in your heart for her beauty or let her captivate you with her eyes.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 26] For the levy of the prostitute is poverty, and the adulteress preys upon your very life.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 27] Can a man embrace fire and his clothes not be burned?
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 28] Can a man walk on hot coals without scorching his feet?
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 29] So is he who sleeps with another man’s wife; no one who touches her will go unpunished.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 30] Men do not despise the thief if he steals to satisfy his hunger.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 31] Yet if caught, he must pay sevenfold; he must give up all the wealth of his house.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 32] He who commits adultery lacks judgment; whoever does so destroys himself.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 33] Wounds and dishonor will befall him, and his reproach will never be wiped away.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 34] For jealousy enrages a husband, and he will show no mercy in the day of vengeance.
[BSB | EN | OT | Proverbs | Chapter 6 | Verse 35] He will not be appeased by any ransom, or persuaded by lavish gifts.
