[BSB | EN | OT | Proverbs | Chapter 29 | Verse 1] A man who remains stiff-necked after much reproof will suddenly be shattered beyond recovery.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 2] When the righteous flourish, the people rejoice, but when the wicked rule, the people groan.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 3] A man who loves wisdom brings joy to his father, but a companion of prostitutes squanders his wealth.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 4] By justice a king brings stability to the land, but a man who exacts tribute demolishes it.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 5] A man who flatters his neighbor spreads a net for his feet.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 6] An evil man is caught by his own sin, but a righteous one sings and rejoices.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 7] The righteous consider the cause of the poor, but the wicked have no regard for such concerns.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 8] Mockers inflame a city, but the wise turn away anger.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 9] If a wise man goes to court with a fool, there will be raving and laughing with no resolution.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 10] Men of bloodshed hate a blameless man, but the upright care for his life.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 11] A fool vents all his anger, but a wise man holds it back.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 12] If a ruler listens to lies, all his officials will be wicked.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 13] The poor man and the oppressor have this in common: The LORD gives light to the eyes of both.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 14] A king who judges the poor with fairness— his throne will be established forever.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 15] A rod of correction imparts wisdom, but a child left to himself disgraces his mother.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 16] When the wicked thrive, rebellion increases; but the righteous will see their downfall.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 17] Discipline your son, and he will give you rest; he will bring delight to your soul.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 18] Where there is no vision, the people cast off restraint; but blessed is he who keeps the Law.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 19] A servant cannot be corrected by words alone; though he understands, he will not respond.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 20] Do you see a man who speaks in haste? There is more hope for a fool than for him.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 21] A servant pampered from his youth will bring grief in the end.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 22] An angry man stirs up dissension, and a hot-tempered man abounds in transgression.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 23] A man’s pride will bring him low, but a humble spirit will obtain honor.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 24] A partner to a thief hates his own soul; he receives the oath, but does not testify.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 25] The fear of man is a snare, but whoever trusts in the LORD is set securely on high.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 26] Many seek the ruler’s favor, but a man receives justice from the LORD.
[BSB | EN | OT | Proverbs | Chapter 29 | Verse 27] An unjust man is detestable to the righteous, and one whose way is upright is detestable to the wicked.
