[BSB | EN | OT | Proverbs | Chapter 4 | Verse 1] Listen, my sons, to a father’s instruction; pay attention and gain understanding.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 2] For I give you sound teaching; do not abandon my directive.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 3] When I was a son to my father, tender and the only child of my mother,
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 4] he taught me and said, “Let your heart lay hold of my words; keep my commands and you will live.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 5] Get wisdom, get understanding; do not forget my words or turn from them.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 6] Do not forsake wisdom, and she will preserve you; love her, and she will guard you.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 7] Wisdom is supreme; so acquire wisdom. And whatever you may acquire, gain understanding.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 8] Prize her, and she will exalt you; if you embrace her, she will honor you.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 9] She will set a garland of grace on your head; she will present you with a crown of beauty.”
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 10] Listen, my son, and receive my words, and the years of your life will be many.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 11] I will guide you in the way of wisdom; I will lead you on straight paths.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 12] When you walk, your steps will not be impeded; when you run, you will not stumble.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 13] Hold on to instruction; do not let go. Guard it, for it is your life.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 14] Do not set foot on the path of the wicked or walk in the way of evildoers.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 15] Avoid it; do not travel on it. Turn from it and pass on by.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 16] For they cannot sleep unless they do evil; they are deprived of slumber until they make someone fall.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 17] For they eat the bread of wickedness and drink the wine of violence.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 18] The path of the righteous is like the first gleam of dawn, shining brighter and brighter until midday.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 19] But the way of the wicked is like the darkest gloom; they do not know what makes them stumble.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 20] My son, pay attention to my words; incline your ear to my sayings.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 21] Do not lose sight of them; keep them within your heart.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 22] For they are life to those who find them, and health to the whole body.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 23] Guard your heart with all diligence, for from it flow springs of life.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 24] Put away deception from your mouth; keep your lips from perverse speech.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 25] Let your eyes look forward; fix your gaze straight ahead.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 26] Make a level path for your feet, and all your ways will be sure.
[BSB | EN | OT | Proverbs | Chapter 4 | Verse 27] Do not swerve to the right or to the left; turn your feet away from evil.
