[BSB | EN | OT | Proverbs | Chapter 22 | Verse 1] A good name is more desirable than great riches; favor is better than silver and gold.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 2] The rich and the poor have this in common: The LORD is Maker of them all.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 3] The prudent see danger and take cover, but the simple keep going and suffer the consequences.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 4] The rewards of humility and the fear of the LORD are wealth and honor and life.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 5] Thorns and snares lie on the path of the perverse; he who guards his soul stays far from them.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 6] Train up a child in the way he should go, and when he is old he will not depart from it.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 7] The rich rule over the poor, and the borrower is slave to the lender.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 8] He who sows injustice will reap disaster, and the rod of his fury will be destroyed.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 9] A generous man will be blessed, for he shares his bread with the poor.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 10] Drive out the mocker, and conflict will depart; even quarreling and insults will cease.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 11] He who loves a pure heart and gracious lips will have the king for a friend.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 12] The LORD’s eyes keep watch over knowledge, but He frustrates the words of the faithless.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 13] The slacker says, “There is a lion outside! I will be slain in the streets!”
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 14] The mouth of an adulteress is a deep pit; he who is under the wrath of the LORD will fall into it.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 15] Foolishness is bound up in the heart of a child, but the rod of discipline drives it far from him.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 16] Oppressing the poor to enrich oneself or giving gifts to the rich will surely lead to poverty.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 17] Incline your ear and hear the words of the wise— apply your mind to my knowledge—
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 18] for it is pleasing when you keep them within you and they are constantly on your lips.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 19] So that your trust may be in the LORD, I instruct you today—yes, you.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 20] Have I not written for you thirty sayings about counsel and knowledge,
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 21] to show you true and reliable words, that you may soundly answer those who sent you?
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 22] Do not rob a poor man because he is poor, and do not crush the afflicted at the gate,
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 23] for the LORD will take up their case and will plunder those who rob them.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 24] Do not make friends with an angry man, and do not associate with a hot-tempered man,
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 25] or you may learn his ways and entangle yourself in a snare.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 26] Do not be one who gives pledges, who puts up security for debts.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 27] If you have nothing with which to pay, why should your bed be taken from under you?
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 28] Do not move an ancient boundary stone which your fathers have placed.
[BSB | EN | OT | Proverbs | Chapter 22 | Verse 29] Do you see a man skilled in his work? He will be stationed in the presence of kings; he will not stand before obscure men.
