[BSB | EN | OT | Proverbs | Chapter 27 | Verse 1] Do not boast about tomorrow, for you do not know what a day may bring.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 2] Let another praise you, and not your own mouth— a stranger, and not your own lips.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 3] A stone is heavy and sand is a burden, but aggravation from a fool outweighs them both.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 4] Wrath is cruel and anger is like a flood, but who can withstand jealousy?
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 5] Better an open rebuke than love that is concealed.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 6] The wounds of a friend are faithful, but the kisses of an enemy are deceitful.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 7] The soul that is full loathes honey, but to a hungry soul, any bitter thing is sweet.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 8] Like a bird that strays from its nest is a man who wanders from his home.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 9] Oil and incense bring joy to the heart, and the sweetness of a friend is counsel to the soul.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 10] Do not forsake your friend or your father’s friend, and do not go to your brother’s house in the day of your calamity; better a neighbor nearby than a brother far away.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 11] Be wise, my son, and bring joy to my heart, so that I can answer him who taunts me.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 12] The prudent see danger and take cover; but the simple keep going and pay the penalty.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 13] Take the garment of him who posts security for a stranger; get collateral if it is for a foreigner.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 14] If one blesses his neighbor with a loud voice early in the morning, it will be counted to him as a curse.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 15] A constant dripping on a rainy day and a contentious woman are alike—
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 16] restraining her is like holding back the wind or grasping oil with one’s right hand.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 17] As iron sharpens iron, so one man sharpens another.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 18] Whoever tends a fig tree will eat its fruit, and he who looks after his master will be honored.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 19] As water reflects the face, so the heart reflects the true man.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 20] Sheol and Abaddon are never satisfied; so the eyes of man are never satisfied.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 21] A crucible for silver and a furnace for gold, but a man is tested by the praise accorded him.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 22] Though you grind a fool like grain with mortar and a pestle, yet his folly will not depart from him.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 23] Be sure to know the state of your flocks, and pay close attention to your herds;
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 24] for riches are not forever, nor does a crown endure to every generation.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 25] When hay is removed and new growth appears and the grain from the hills is gathered,
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 26] the lambs will provide you with clothing, and the goats with the price of a field.
[BSB | EN | OT | Proverbs | Chapter 27 | Verse 27] You will have plenty of goats’ milk to feed you— food for your household and nourishment for your maidservants.
