[BSB | EN | OT | Proverbs | Chapter 13 | Verse 1] A wise son heeds his father’s discipline, but a mocker does not listen to rebuke.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 2] From the fruit of his lips a man enjoys good things, but the desire of the faithless is violence.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 3] He who guards his mouth protects his life, but the one who opens his lips invites his own ruin.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 4] The slacker craves yet has nothing, but the soul of the diligent is fully satisfied.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 5] The righteous hate falsehood, but the wicked bring shame and disgrace.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 6] Righteousness guards the man of integrity, but wickedness undermines the sinner.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 7] One pretends to be rich, but has nothing; another pretends to be poor, yet has great wealth.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 8] Riches may ransom a man’s life, but a poor man hears no threat.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 9] The light of the righteous shines brightly, but the lamp of the wicked is extinguished.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 10] Arrogance leads only to strife, but wisdom is with the well-advised.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 11] Dishonest wealth will dwindle, but what is earned through hard work will be multiplied.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 12] Hope deferred makes the heart sick, but desire fulfilled is a tree of life.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 13] He who despises instruction will pay the penalty, but the one who respects a command will be rewarded.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 14] The teaching of the wise is a fountain of life, turning one from the snares of death.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 15] Good understanding wins favor, but the way of the faithless is difficult.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 16] Every prudent man acts with knowledge, but a fool displays his folly.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 17] A wicked messenger falls into trouble, but a faithful envoy brings healing.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 18] Poverty and shame come to him who ignores discipline, but whoever heeds correction is honored.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 19] Desire fulfilled is sweet to the soul, but turning from evil is detestable to fools.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 20] He who walks with the wise will become wise, but the companion of fools will be destroyed.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 21] Disaster pursues sinners, but prosperity is the reward of the righteous.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 22] A good man leaves an inheritance to his children’s children, but the sinner’s wealth is passed to the righteous.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 23] Abundant food is in the fallow ground of the poor, but without justice it is swept away.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 24] He who spares the rod hates his son, but he who loves him disciplines him diligently.
[BSB | EN | OT | Proverbs | Chapter 13 | Verse 25] A righteous man eats to his heart’s content, but the stomach of the wicked is empty.
