[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 1] But of the times and the seasons, brethren, ye have no need that I write to you.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 2] For yourselves know perfectly that the day of the Lord so cometh as a thief in the night.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 3] For when they shall say, Peace and safety; then sudden destruction cometh upon them, as travail upon a woman with child; and they shall not escape.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 4] But ye, brethren, are not in darkness, that that day should overtake you as a thief.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 5] Ye are all children of light, and children of the day: we are not of the night, nor of darkness.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 6] Therefore let us not sleep, as do others; but let us watch and be sober.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 7] For they that sleep, sleep in the night; and they that are drunken, are drunken in the night.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 8] But let us, who are of the day, be sober, putting on the breast-plate of faith and love; and for a helmet, the hope of salvation.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 9] For God hath not appointed us to wrath, but to obtain salvation by our Lord Jesus Christ,
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 10] Who died for us, that, whether we wake or sleep, we should live together with him.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 11] Wherefore, comfort yourselves together, and edify one another, even as also ye do.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 12] And we beseech you, brethren, to know them who labor among you, and are over you in the Lord, and admonish you;
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 13] And to esteem them very highly in love for their work's sake. And be at peace among yourselves.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 14] Now we exhort you, brethren, warn them that are disorderly, comfort the feeble-minded, support the weak, be patient towards all men .
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 15] See that none render evil for evil to any man ; but ever follow that which is good, both among yourselves, and to all men .
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 16] Rejoice evermore.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 17] Pray without ceasing.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 18] In every thing give thanks: for this is the will of God in Christ Jesus concerning you.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 19] Quench not the spirit.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 20] Despise not prophesyings.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 21] Prove all things; hold fast that which is good.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 22] Abstain from all appearance of evil.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 23] And the very God of peace sanctify you wholly; and I pray God your whole spirit and soul and body may be preserved blameless to the coming of our Lord Jesus Christ.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 24] Faithful is he that calleth you, who also will do it .
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 25] Brethren, pray for us.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 26] Greet all the brethren with a holy kiss.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 27] I charge you by the Lord that this epistle be read to all the holy brethren.
[WEBSTER | EN | NT | 1 Thessalonians | Chapter 5 | Verse 28] The grace of our Lord Jesus Christ be with you. Amen.
