[IRV | MR | NT | Galatians | Chapter 5 | Verse 1] या स्वातंत्र्याकरिता ख्रिस्ताने आपल्याला मोकळे केले आहे म्हणून त्यामध्ये तुम्ही टिकून राहा आणि दासपणाच्या जुवाखाली पुन्हा सापडू नका.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 2] पाहा, मी पौल तुम्हास हे सांगतो की, तुम्ही जर सुंता करून घेतली तर तुम्हास ख्रिस्ताचा उपयोग नाही.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 3] कारण सुंता झालेल्या प्रत्येक मनुष्यास मी हे पुन्हा निक्षून सांगतो की, तो संपूर्ण नियमशास्त्र पाळण्यास बांधलेला आहे.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 4] नियमशास्त्राने नीतिमान ठरण्याची इच्छा धरता ते तुम्ही ख्रिस्ताला अंतरला आहा; तुम्ही कृपेला अंतरला आहा,
[IRV | MR | NT | Galatians | Chapter 5 | Verse 5] कारण आपण देवाच्या आत्म्याच्याद्वारे, विश्वासाने, नीतिमत्त्वाची आशा धरून वाट पाहत आहोत.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 6] ख्रिस्त येशूमध्ये सुंता काही कामाची नाही आणि सुंता न होण्यात काही सामर्थ्य आहे असे नाही; तर प्रीतीच्या द्वारे कार्य करणारा विश्वास त्याच्यात सामर्थ्य आहे.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 7] तुम्ही चांगले धावत होता; तुम्ही खरेपणाला मान्य होऊ नये म्हणून तुम्हास कोणी अडथळा केला?
[IRV | MR | NT | Galatians | Chapter 5 | Verse 8] तुम्हास जो बोलवत आहे त्या परमेश्वराची ही शिकवण नाही,
[IRV | MR | NT | Galatians | Chapter 5 | Verse 9] ‘थोडेसे खमीर सगळा कणकेचा गोळा फुगवते.’
[IRV | MR | NT | Galatians | Chapter 5 | Verse 10] मला तुमच्याविषयी प्रभूमध्ये खातरी आहे की, तुम्ही दुसरा विचार करणार नाही पण तुम्हास घोटाळ्यात पाडणारा मग तो कोणी का असेना तो दंड भोगील.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 11] आणि बंधूंनो, मी जर अजून सुंतेचा उपदेश करीत असलो, तर अजून माझा छळ का होत आहे? मग तसे असते तर वधस्तंभाचे अडखळण नाहीसे झाले आहे.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 12] तुमच्या ठायी अस्थिरता उत्पन्न करणारे स्वतःला छेदून घेतील तर बरे होईल.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 13] कारण बंधूंनो, तुम्हास स्वातंत्र्यतेकरिता बोलावले गेले आहे. तरी त्या स्वतंत्रतेने देह वासनांना संधी देऊ नका. पण प्रीतीने एकमेकांची सेवा करा.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 14] कारण, ‘जशी आपणावर तशीच आपल्या शेजार्‍यावर प्रीती करा.’ हे एकच वचन पाळल्याने सर्व नियमशास्त्र पूर्णपणे पाळण्यात आले आहे.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 15] पण तुम्ही जर एकमेकांना चावता आणि खाऊन टाकता, तर तुम्ही एकमेकांचा नाश करू नये म्हणून जपा.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 16] म्हणून मी म्हणतो, आत्म्याच्या प्रेरणेने चाला, म्हणजे तुम्ही देहाची वासना पूर्ण करणारच नाही.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 17] कारण देहवासना देवाच्या आत्म्याविरुद्ध आहे आणि आत्मा देहवासनेविरुद्ध आहे; हे परस्परांस विरूद्ध आहेत, यासाठी की जे काही तुम्ही इच्छिता ते तुम्ही करू नये.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 18] तुम्ही देवाच्या आत्म्याच्या प्रेरणेने चालवलेले आहात तर तुम्ही नियमशास्त्राच्या अधीन नाही.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 19] आता देहाची कामे उघड आहेत आणि ती हीः व्यभिचार, अमंगळपणा, कामातुरपणा,
[IRV | MR | NT | Galatians | Chapter 5 | Verse 20] मूर्तीपूजा, जादूटोणा, वैर, कलह, ईर्ष्या, राग, विरोध, फुटी, गट,
[IRV | MR | NT | Galatians | Chapter 5 | Verse 21] मत्सर, धुंदी, दंगल आणि ह्यांसारखी आणखी; ह्यांविषयी मी जसे पूर्वी सांगितले होते तसे आता आधी सांगतो की, या गोष्टी करणार्‍यांना देवाच्या राज्याचे वतन मिळणार नाही.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 22] पवित्र आत्म्याच्याद्वारे निष्पन्न होणारे फळही आहेत प्रीती, आनंद, शांती, सहनशीलता, ममता, चांगुलपणा, विश्वासूपणा,
[IRV | MR | NT | Galatians | Chapter 5 | Verse 23] सौम्यता, इंद्रियदमन हे आहे; अशांविरूद्ध नियमशास्त्र नाही.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 24] जे ख्रिस्त येशूचे आहेत त्यांनी देहाच्या भावना व वासनांसहित देहस्वभावाला वधस्तंभावर खिळले आहे.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 25] आपण जर देवाच्या आत्म्याच्या सामर्थ्याने जगतो तर आपण आत्म्याच्या प्रेरणेनेच चालावे.
[IRV | MR | NT | Galatians | Chapter 5 | Verse 26] आपण पोकळ अभिमान बाळगणारे, एकमेकाला चीड आणणारे व एकमेकांचा हेवा करणारे असे होऊ नये.
