[LXX | EL | OT | Micah | Chapter 6 | Verse 1] Ἀκούσατε δὴ λόγον· Κύριος Κύριος εἶπεν, ἀνάστηθι, κρίθητι πρὸς τὰ ὄρη, καὶ ἀκουσάτωσαν βουνοὶ φωνήν σου.
[LXX | EL | OT | Micah | Chapter 6 | Verse 2] Ἀκούσατε ὄρη τὴν κρίσιν τοῦ Κυρίου, καὶ αἱ φάραγγες θεμέλια τῆς γῆς, ὅτι κρίσις τῷ Κυρίῳ πρὸς τὸν λαὸν αὐτοῦ, καὶ μετὰ τοῦ Ἰσραὴλ διελεγχθήσεται.
[LXX | EL | OT | Micah | Chapter 6 | Verse 3] Λαός μου, τί ἐποίησά σοι, ἢ τί ἐλύπησά σε, ἢ τί παρηνώχλησά σοι; ἀποκρίθητί μοι.
[LXX | EL | OT | Micah | Chapter 6 | Verse 4] Διότι ἀνήγαγόν σε ἐκ γῆς Αἰγύπτου, καὶ ἐξ οἴκου δουλείας ἐλυτρωσάμην σε, καὶ ἐξαπέστειλα πρὸ προσώπου σου τὸν Μωυσῆν, καὶ Ἀαρὼν, καὶ Μαριάμ.
[LXX | EL | OT | Micah | Chapter 6 | Verse 5] Λαός μου μνήσθητι δὴ, τί ἐβουλεύσατο κατὰ σοῦ Βαλὰκ βασιλεὺς Μωὰβ, καὶ τί ἀπεκρίθη αὐτῷ Βαλαὰμ, υἱὸς τοῦ Βεὼρ ἀπὸ τῶν σχοίνων ἕως τοῦ Γαλγὰλ, ὅπως γνωσθῇ ἡ δικαιοσύνη τοῦ Κυρίου.
[LXX | EL | OT | Micah | Chapter 6 | Verse 6] Ἐν τίνι καταλάβω τὸν Κύριον, ἀντιλήψομαι Θεοῦ μου ὑψίστου; εἰ καταλήψομαι αὐτὸν ἐν ὁλοκαυτώμασιν, ἐν μόσχοις ἐνιαυσίοις;
[LXX | EL | OT | Micah | Chapter 6 | Verse 7] Εἰ προσδέξεται Κύριος ἐν χιλιάσι κριῶν; ἢ ἐν μυριάσι χιμάρων πιόνων; εἰ δῶ πρωτότοκά μου ὑπὲρ ἀσεβείας, καρπὸν κοιλίας μου ὑπὲρ ἁμαρτίας ψυχῆς μου;
[LXX | EL | OT | Micah | Chapter 6 | Verse 8] Εἰ ἀνηγγέλη σοι ἄνθρωπε τί καλόν; ἢ τί Κύριος ἐκζητεῖ παρὰ σοῦ, ἀλλʼ ἢ τοῦ ποιεῖν κρίμα, καὶ ἀγαπᾷν ἔλεον, καὶ ἕτοιμον εἶναι τοῦ πορεύεσθαι μετὰ Κυρίου Θεοῦ σου;
[LXX | EL | OT | Micah | Chapter 6 | Verse 9] Φωνὴ Κυρίου τῇ πόλει ἐπικληθήσεται, καὶ σώσει φοβουμένους τὸ ὄνομα αὐτοῦ· ἄκουε φυλὴ, καὶ τίς κοσμήσει πόλιν;
[LXX | EL | OT | Micah | Chapter 6 | Verse 10] Μὴ πῦρ καὶ οἶκος ἀνόμου θησαυρίζων θησαυροὺς ἀνόμους, καὶ μετὰ ὕβρεως ἀδικίας;
[LXX | EL | OT | Micah | Chapter 6 | Verse 11] Εἰ δικαιωθήσεται ἐν ζυγῷ ἄνομος, καὶ ἐν μαρσίππῳ στάθμια δόλου,
[LXX | EL | OT | Micah | Chapter 6 | Verse 12] ἐξ ὧν τὸν πλοῦτον αὐτῶν ἀσεβείας ἔπλησαν, καὶ οἱ κατοικοῦντες αὐτὴν ἐλάλουν ψεύδη, καὶ ἡ γλῶσσα αὐτῶν ὑψώθη ἐν τῷ στόματι αὐτῶν;
[LXX | EL | OT | Micah | Chapter 6 | Verse 13] Καὶ ἐγὼ ἄρξομαι τοῦ πατάξαι σε, ἀφανιῶ σε ἐν ταῖς ἁμαρτίαις σου.
[LXX | EL | OT | Micah | Chapter 6 | Verse 14] Σὺ φάγεσαι, καὶ οὐ μὴ ἐμπλησθῇς, καὶ συσκοτάσει ἐν σοὶ καὶ ἐκνεύσει, καὶ οὐ μὴ διασωθῇς, καὶ ὅσοι ἂν διασωθῶσιν, εἰς ῥομφαίαν παραδοθήσονται·
[LXX | EL | OT | Micah | Chapter 6 | Verse 15] Σὺ σπερεῖς, καὶ οὐ μὴ ἀμήσῃς, σὺ πιέσεις ἐλαίαν, καὶ οὐ μὴ ἀλείψῃ ἔλαιον, καὶ οἶνον, καὶ οὐ μὴ πίητε, καὶ ἀφανισθήσεται νόμιμα λαοῦ μου.
[LXX | EL | OT | Micah | Chapter 6 | Verse 16] Καὶ ἐφύλαξας τὰ δικαιώματα Ζαμβρὶ, καὶ πάντα τὰ ἔργα οἴκου Ἀχαὰβ, καὶ ἐπορεύθητε ἐν ταῖς ὁδοῖς αὐτῶν, ὅπως παραδῶ σε εἰς ἀφανισμὸν, καὶ τοὺς κατοικοῦντας αὐτὴν εἰς συρισμὸν, καὶ ὀνείδη λαῶν λήψεσθε.
