[IRV | HI | OT | Daniel | Chapter 4 | Verse 1] नबूकदनेस्सर राजा की ओर से देश-देश और जाति-जाति के लोगों, और भिन्न-भिन्न भाषा बोलनेवाले जितने सारी पृथ्वी पर रहते हैं, उन सभी को यह वचन मिला, “तुम्हारा कुशल क्षेम बढ़े!
[IRV | HI | OT | Daniel | Chapter 4 | Verse 2] मुझे यह अच्छा लगा, कि परमप्रधान परमेश्वर ने मुझे जो-जो चिन्ह और चमत्कार दिखाए हैं, उनको प्रगट करूँ। (भज. 66:16)
[IRV | HI | OT | Daniel | Chapter 4 | Verse 3] उसके दिखाए हुए चिन्ह क्या ही बड़े, और उसके चमत्कारों में क्या ही बड़ी शक्ति प्रगट होती है! उसका राज्य तो सदा का और उसकी प्रभुता पीढ़ी से पीढ़ी तक बनी रहती है।
[IRV | HI | OT | Daniel | Chapter 4 | Verse 4] “मैं नबूकदनेस्सर अपने भवन में चैन से और अपने महल में प्रफुल्लित रहता था।
[IRV | HI | OT | Daniel | Chapter 4 | Verse 5] मैंने ऐसा स्वप्न देखा जिसके कारण मैं डर गया; और पलंग पर पड़े-पड़े जो विचार मेरे मन में आए और जो बातें मैंने देखीं, उनके कारण मैं घबरा गया था।
[IRV | HI | OT | Daniel | Chapter 4 | Verse 6] तब मैंने आज्ञा दी कि बाबेल के सब पंडित मेरे स्वप्न का अर्थ मुझे बताने के लिये मेरे सामने हाजिर किए जाएँ।
[IRV | HI | OT | Daniel | Chapter 4 | Verse 7] तब ज्योतिषी, तांत्रिक, कसदी और भावी बतानेवाले भीतर आए, और मैंने उनको अपना स्वप्न बताया, परन्तु वे उसका अर्थ न बता सके।
[IRV | HI | OT | Daniel | Chapter 4 | Verse 8] अन्त में दानिय्येल मेरे सम्मुख आया, जिसका नाम मेरे देवता के नाम के कारण बेलतशस्सर रखा गया था, और जिसमें पवित्र ईश्वरों की आत्मा रहती है; और मैंने उसको अपना स्वप्न यह कहकर बता दिया,
[IRV | HI | OT | Daniel | Chapter 4 | Verse 9] हे बेलतशस्सर तू तो सब ज्योतिषियों का प्रधान है, मैं जानता हूँ कि तुझ में पवित्र ईश्वरों की आत्मा रहती है, और तू किसी भेद के कारण नहीं घबराता; इसलिए जो स्वप्न मैंने देखा है उसे अर्थ समेत मुझे बताकर समझा दे।
[IRV | HI | OT | Daniel | Chapter 4 | Verse 10] जो दर्शन मैंने पलंग पर पाया वह यह है: मैंने देखा, कि पृथ्वी के बीचोबीच एक वृक्ष लगा है; उसकी ऊँचाई बहुत बड़ी है।
[IRV | HI | OT | Daniel | Chapter 4 | Verse 11] वह वृक्ष बड़ा होकर दृढ़ हो गया, और उसकी ऊँचाई स्वर्ग तक पहुँची, और वह सारी पृथ्वी की छोर तक दिखाई पड़ता था।
[IRV | HI | OT | Daniel | Chapter 4 | Verse 12] उसके पत्ते सुन्दर, और उसमें बहुत फल थे, यहाँ तक कि उसमें सभी के लिये भोजन था। उसके नीचे मैदान के सब पशुओं को छाया मिलती थी, और उसकी डालियों में आकाश की सब चिड़ियाँ बसेरा करती थीं, और सब प्राणी उससे आहार पाते थे। (मत्ती 13:32)
[IRV | HI | OT | Daniel | Chapter 4 | Verse 13] “मैंने पलंग पर दर्शन पाते समय क्या देखा, कि एक पवित्र दूत स्वर्ग से उतर आया।
