[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 1] To the chief Musician, A Psalm of David. Hold not thy peace, O God of my praise;
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 2] For the mouth of the wicked and the mouth of the deceitful are opened against me: they have spoken against me with a lying tongue.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 3] They encompassed me also with words of hatred; and fought against me without a cause.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 4] For my love they are my adversaries: but I give myself to prayer.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 5] And they have rewarded me evil for good, and hatred for my love.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 6] Set thou a wicked man over him: and let Satan stand at his right hand.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 7] When he shall be judged, let him be condemned: and let his prayer become sin.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 8] Let his days be few; and let another take his office.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 9] Let his children be fatherless, and his wife a widow.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 10] Let his children be continually vagabonds, and beg: let them seek their bread also out of their desolate places.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 11] Let the extortioner catch all that he hath; and let strangers spoil his labor.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 12] Let there be none to extend mercy to him: neither let there be any to favor his fatherless children.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 13] Let his posterity be cut off; and in the generation following let their name be blotted out.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 14] Let the iniquity of his fathers be remembered with the LORD; and let not the sin of his mother be blotted out.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 15] Let them be before the LORD continually, that he may cut off the memory of them from the earth.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 16] Because that he remembered not to show mercy, but persecuted the poor and needy man, that he might even slay the broken in heart.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 17] As he loved cursing, so let it come to him: as he delighted not in blessing, so let it be far from him.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 18] As he clothed himself with cursing like as with his garment, so let it come into his bowels like water, and like oil into his bones.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 19] Let it be to him as the garment which covereth him, and for a girdle with which he is girded continually.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 20] Let this be the reward of my adversaries from the LORD, and of them that speak evil against my soul.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 21] But do thou for me, O GOD the Lord, for thy name's sake: because thy mercy is good, deliver thou me.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 22] For I am poor and needy, and my heart is wounded within me.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 23] I am gone like the shadow when it declineth: I am tossed up and down as the locust.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 24] My knees are weak through fasting; and my flesh faileth of fatness.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 25] I became also a reproach to them: when they looked upon me they shook their heads.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 26] Help me, O LORD my God: O save me according to thy mercy:
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 27] That they may know that this is thy hand; that thou, LORD, hast done it.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 28] Let them curse, but bless thou: when they arise, let them be ashamed; but let thy servant rejoice.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 29] Let my adversaries be clothed with shame, and let them cover themselves with their own confusion, as with a mantle.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 30] I will greatly praise the LORD with my mouth; yes, I will praise him among the multitude.
[WEBSTER | EN | OT | Psalms | Chapter 109 | Verse 31] For he will stand at the right hand of the poor, to save him from those that condemn his soul.
