[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 1] Rejoice in the LORD, O ye righteous: for praise is comely for the upright.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 2] Praise the LORD with harp: sing to him with the psaltery and an instrument of ten strings.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 3] Sing to him a new song; play skillfully with a loud noise.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 4] For the word of the LORD is right; and all his works are done in truth.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 5] He loveth righteousness and judgment: the earth is full of the goodness of the LORD.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 6] By the word of the LORD were the heavens made; and all the host of them by the breath of his mouth.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 7] He gathereth the waters of the sea together as a heap: he layeth up the depth in store-houses.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 8] Let all the earth fear the LORD: let all the inhabitants of the world stand in awe of him.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 9] For he spoke, and it was done ; he commanded, and it stood fast.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 10] The LORD bringeth the counsel of the heathen to naught: he maketh the devices of the people of no effect.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 11] The counsel of the LORD standeth for ever, the thoughts of his heart to all generations.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 12] Blessed is the nation whose God is the LORD; and the people whom he hath chosen for his own inheritance.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 13] The LORD looketh from heaven; he beholdeth all the sons of men.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 14] From the place of his habitation he looketh upon all the inhabitants of the earth.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 15] He fashioneth their hearts alike; he considereth all their works.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 16] There is no king saved by the multitude of a host: a mighty man is not delivered by much strength.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 17] A horse is a vain thing for safety: neither shall he deliver any by his great strength.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 18] Behold, the eye of the LORD is upon them that fear him, upon them that hope in his mercy;
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 19] To deliver their soul from death, and to keep them alive in famine.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 20] Our soul waiteth for the LORD: he is our help and our shield.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 21] For our heart shall rejoice in him, because we have trusted in his holy name.
[WEBSTER | EN | OT | Psalms | Chapter 33 | Verse 22] Let thy mercy, O LORD, be upon us, according as we hope in thee.
