[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 1] O give thanks to the LORD; for he is good: because his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 2] Let Israel now say, that his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 3] Let the house of Aaron now say, that his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 4] Let them now that fear the LORD say, that his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 5] I called upon the LORD in distress: the LORD answered me, and set me in a large place.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 6] The LORD is on my side; I will not fear: what can man do to me?
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 7] The LORD taketh my part with them that help me: therefore shall I see my desire upon them that hate me.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 8] It is better to trust in the LORD than to put confidence in man.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 9] It is better to trust in the LORD than to put confidence in princes.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 10] All nations encompassed me: but in the name of the LORD will I destroy them.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 11] They encompassed me; yes, they encompassed me: but in the name of the LORD I will destroy them.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 12] They encompassed me like bees; they are quenched as the fire of thorns: for in the name of the LORD I will destroy them.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 13] Thou hast violently thrust at me that I might fall: but the LORD helped me.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 14] The LORD is my strength and song, and is become my salvation.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 15] The voice of rejoicing and salvation is in the tabernacles of the righteous: the right hand of the LORD doeth valiantly.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 16] The right hand of the LORD is exalted: the right hand of the LORD doeth valiantly.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 17] I shall not die, but live, and declare the works of the LORD.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 18] The LORD hath chastened me severely: but he hath not given me over to death.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 19] Open to me the gates of righteousness: I will enter them, and I will praise the LORD:
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 20] This gate of the LORD, into which the righteous shall enter.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 21] I will praise thee: for thou hast heard me, and art become my salvation.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 22] The stone which the builders refused is become the head stone of the corner.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 23] This is the LORD'S doing; it is wonderful in our eyes.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 24] This is the day which the LORD hath made; we will rejoice and be glad in it.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 25] Save now, I beseech thee, O LORD: O LORD, I beseech thee, send now prosperity.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 26] Blessed be he that cometh in the name of the LORD: we have blessed you out of the house of the LORD.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 27] God is the LORD, who hath shown us light: bind the sacrifice with cords, even to the horns of the altar.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 28] Thou art my God, and I will praise thee: thou art my God, I will exalt thee.
[WEBSTER | EN | OT | Psalms | Chapter 118 | Verse 29] O give thanks to the LORD; for he is good: for his mercy endureth for ever.
