[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 1] David's Psalm of praise. I will extol thee, my God, O king; and I will bless thy name for ever and ever.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 2] Every day will I bless thee; and I will praise thy name for ever and ever.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 3] Great is the LORD, and greatly to be praised; and his greatness is unsearchable.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 4] One generation shall praise thy works to another, and shall declare thy mighty acts.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 5] I will speak of the glorious honor of thy majesty, and of thy wondrous works.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 6] And men shall speak of the might of thy terrible acts: and I will declare thy greatness.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 7] They shall abundantly utter the memory of thy great goodness, and shall sing of thy righteousness.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 8] The LORD is gracious, and full of compassion; slow to anger, and of great mercy.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 9] The LORD is good to all: and his tender mercies are over all his works.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 10] All thy works shall praise thee, O LORD; and thy saints shall bless thee.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 11] They shall speak of the glory of thy kingdom, and talk of thy power;
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 12] To make known to the sons of men his mighty acts, and the glorious majesty of his kingdom.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 13] Thy kingdom is an everlasting kingdom, and thy dominion endureth throughout all generations.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 14] The LORD upholdeth all that fall, and raiseth up all those that are bowed down.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 15] The eyes of all wait upon thee; and thou givest them their food in due season.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 16] Thou openest thy hand, and satisfiest the desire of every living creature.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 17] The LORD is righteous in all his ways, and holy in all his works.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 18] The LORD is nigh to all them that call upon him, to all that call upon him in truth.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 19] He will fulfill the desire of them that fear him: he also will hear their cry, and will save them.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 20] The LORD preserveth all them that love him: but all the wicked will he destroy.
[WEBSTER | EN | OT | Psalms | Chapter 145 | Verse 21] My mouth shall speak the praise of the LORD: and let all flesh bless his holy name for ever and ever.
