[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 1] Praise ye the LORD. O give thanks to the LORD; for he is good: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 2] Who can utter the mighty acts of the LORD? who can show forth all his praise?
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 3] Blessed are they that keep judgment, and he that doeth righteousness at all times.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 4] Remember me, O LORD, with the favor that thou bearest to thy people: O visit me with thy salvation;
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 5] That I may see the good of thy chosen, that I may rejoice in the gladness of thy nation, that I may glory with thy inheritance.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 6] We have sinned with our fathers, we have committed iniquity, we have done wickedly.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 7] Our fathers understood not thy wonders in Egypt; they remembered not the multitude of thy mercies; but provoked him at the sea, even at the Red sea.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 8] Nevertheless he saved them for his name's sake, that he might make his mighty power to be known.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 9] He rebuked the Red sea also, and it was dried up: so he led them through the depths, as through the wilderness.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 10] And he saved them from the hand of him that hated them , and redeemed them from the hand of the enemy.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 11] And the waters covered their enemies: there was not one of them left.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 12] Then they believed his words; they sang his praise.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 13] They soon forgot his works; they waited not for his counsel:
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 14] But lusted exceedingly in the wilderness, and tempted God in the desert.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 15] And he gave them their request; but sent leanness into their soul.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 16] They envied Moses also in the camp, and Aaron the saint of the LORD.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 17] The earth opened and swallowed up Dathan, and covered the company of Abiram.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 18] And a fire was kindled in their company; the flame burned up the wicked.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 19] They made a calf in Horeb, and worshiped the molten image.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 20] Thus they changed their glory into the similitude of an ox that eateth grass.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 21] They forgot God their savior, who had done great things in Egypt;
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 22] Wondrous works in the land of Ham, and terrible things by the Red sea.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 23] Therefore he said that he would destroy them, had not Moses his chosen stood before him in the breach, to turn away his wrath, lest he should destroy them .
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 24] Yes, they despised the pleasant land, they believed not his word:
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 25] But murmured in their tents, and hearkened not to the voice of the LORD.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 26] Therefore he lifted up his hand against them, to overthrow them in the wilderness:
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 27] To overthrow their seed also among the nations, and to scatter them in the lands.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 28] They joined themselves also to Baal-peor, and ate the sacrifices of the dead.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 29] Thus they provoked him to anger with their inventions: and the plague broke in upon them.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 30] Then stood up Phinehas, and executed judgment: and so the plague was stayed.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 31] And that was counted to him for righteousness to all generations for ever.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 32] They angered him also at the waters of strife, so that it went ill with Moses for their sakes:
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 33] Because they provoked his spirit, so that he spoke unadvisedly with his lips.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 34] They did not destroy the nations, concerning whom the LORD commanded them:
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 35] But were mingled among the heathen, and learned their works.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 36] And they served their idols: which were a snare to them.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 37] Yes, they sacrificed their sons and their daughters to demons,
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 38] And shed innocent blood, even the blood of their sons and of their daughters, whom they sacrificed to the idols of Canaan: and the land was polluted with blood.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 39] Thus were they defiled with their own works, and went astray with their own inventions.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 40] Therefore was the wrath of the LORD kindled against his people, insomuch that he abhorred his own inheritance.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 41] And he gave them into the hand of the heathen; and they that hated them ruled over them.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 42] Their enemies also oppressed them, and they were brought into subjection under their hand.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 43] Many times did he deliver them; but they provoked him with their counsel; and were brought low for their iniquity.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 44] Nevertheless he regarded their affliction, when he heard their cry:
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 45] And he remembered for them his covenant, and repented according to the multitude of his mercies.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 46] He made them also to be pitied by all those that carried them captives.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 47] Save us, O LORD our God, and gather us from among the heathen, to give thanks to thy holy name, and to triumph in thy praise.
[WEBSTER | EN | OT | Psalms | Chapter 106 | Verse 48] Blessed be the LORD God of Israel from everlasting to everlasting: and let all the people say, Amen. Praise ye the LORD.
