[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 1] A Song or Psalm for the sons of Korah, to the chief Musician upon Mahalath Leannoth, Maschil of Heman the Ezrahite. O LORD God of my salvation, I have cried day and night before thee:
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 2] Let my prayer come before thee: incline thy ear to my cry;
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 3] For my soul is full of troubles: and my life draweth nigh to the grave.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 4] I am counted with them that go down into the pit: I am as a man that hath no strength:
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 5] Free among the dead, like the slain that lie in the grave, whom thou rememberest no more: and they are cut off from thy hand.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 6] Thou hast laid me in the lowest pit, in darkness, in the deeps.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 7] Thy wrath lieth hard upon me, and thou hast afflicted me with all thy waves. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 8] Thou hast put away my acquaintance far from me; thou hast made me an abomination to them: I am shut up, and I cannot come forth.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 9] My eye mourneth by reason of affliction: LORD, I have called daily upon thee, I have stretched out my hands to thee.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 10] Wilt thou show wonders to the dead? shall the dead arise and praise thee? Selah.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 11] Shall thy loving-kindness be declared in the grave? or thy faithfulness in destruction?
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 12] Shall thy wonders be known in the dark? and thy righteousness in the land of forgetfulness?
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 13] But to thee have I cried, O LORD; and in the morning shall my prayer come before thee.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 14] LORD, why castest thou off my soul? why hidest thou thy face from me?
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 15] I am afflicted and ready to die from my youth up: while I suffer thy terrors I am distracted.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 16] Thy fierce wrath goeth over me; thy terrors have cut me off.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 17] They came around me daily like water; they encompassed me together.
[WEBSTER | EN | OT | Psalms | Chapter 88 | Verse 18] Lover and friend hast thou put far from me, and my acquaintance into darkness.
