[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 1] To the chief Musician upon Jonathelem-rechokim, Michtam of David, when the Philistines took him in Gath. Be merciful to me, O God: for man would swallow me up; he fighting daily oppresseth me.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 2] My enemies would daily swallow me up: for they are many that fight against me, O thou Most High.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 3] In the time when I am afraid, I will trust in thee.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 4] In God I will praise his word, in God I have put my trust; I will not fear what flesh can do to me.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 5] Every day they wrest my words: all their thoughts are against me for evil.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 6] They assemble themselves, they hide themselves, they mark my steps, when they wait for my soul.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 7] Shall they escape by iniquity; in thy anger cast down the people, O God.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 8] Thou numberest my wanderings: put thou my tears into thy bottle: are they not in thy book?
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 9] When I cry to thee , then shall my enemies turn back: this I know; for God is for me.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 10] In God will I praise his word: in the LORD will I praise his word.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 11] In God have I put my trust: I will not be afraid what man can do to me.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 12] Thy vows are upon me, O God: I will render praises to thee.
[WEBSTER | EN | OT | Psalms | Chapter 56 | Verse 13] For thou hast delivered my soul from death: wilt thou not deliver my feet from falling, that I may walk before God in the light of the living?
