[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 1] O sing to the LORD a new song: sing to the LORD, all the earth.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 2] Sing to the LORD, bless his name; show forth his salvation from day to day.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 3] Declare his glory among the heathen, his wonders among all people.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 4] For the LORD is great, and greatly to be praised: he is to be feared above all gods.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 5] For all the gods of the nations are idols: but the LORD made the heavens.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 6] Honor and majesty are before him: strength and beauty are in his sanctuary.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 7] Give to the LORD, O ye kindreds of the people, give to the LORD glory and strength.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 8] Give to the LORD the glory due to his name: bring an offering, and come into his courts.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 9] O worship the LORD in the beauty of holiness: fear before him, all the earth.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 10] Say among the heathen that the LORD reigneth: the world also shall be established that it shall not be moved: he will judge the people righteously.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 11] Let the heavens rejoice, and let the earth be glad; let the sea roar, and the fullness of it.
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 12] Let the field be joyful, and all that is in it: then shall all the trees of the wood rejoice before the LORD:
[WEBSTER | EN | OT | Psalms | Chapter 96 | Verse 13] For he cometh, for he cometh to judge the earth: he will judge the world with righteousness, and the people with his truth.
