[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 1] A Psalm of David. Bless the LORD, O my soul: and all that is within me, bless his holy name.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 2] Bless the LORD, O my soul, and forget not all his benefits:
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 3] Who forgiveth all thy iniquities; who healeth all thy diseases;
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 4] Who redeemeth thy life from destruction; who crowneth thee with loving-kindness and tender mercies;
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 5] Who satisfieth thy mouth with good things ; so that thy youth is renewed like the eagle's.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 6] The LORD executeth righteousness and judgment for all that are oppressed.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 7] He made known his ways to Moses, his acts to the children of Israel.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 8] The LORD is merciful and gracious, slow to anger, and abundant in mercy.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 9] He will not always chide: neither will he keep his anger for ever.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 10] He hath not dealt with us according to our sins; nor rewarded us according to our iniquities.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 11] For as the heaven is high above the earth, so great is his mercy towards them that fear him.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 12] As far as the east is from the west, so far hath he removed our transgressions from us.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 13] Like as a father pitieth his children, so the LORD pitieth them that fear him.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 14] For he knoweth our frame; he remembereth that we are dust.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 15] As for man, his days are as grass: as a flower of the field, so he flourisheth.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 16] For the wind passeth over it, and it is gone; and its place shall know it no more.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 17] But the mercy of the LORD is from everlasting to everlasting upon them that fear him, and his righteousness to children's children;
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 18] To such as keep his covenant, and to those that remember his commandments to do them.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 19] The LORD hath prepared his throne in the heavens; and his kingdom ruleth over all.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 20] Bless the LORD, ye his angels, that excel in strength, that do his commandments, hearkening to the voice of his word.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 21] Bless ye the LORD, all ye his hosts; ye ministers of his, that do his pleasure.
[WEBSTER | EN | OT | Psalms | Chapter 103 | Verse 22] Bless the LORD, all his works in all places of his dominion: bless the LORD, O my soul.
