[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 1] A Prayer of the afflicted, when he is overwhelmed, and poureth out his complaint before the LORD. Hear my prayer, O LORD, and let my cry come to thee.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 2] Hide not thy face from me in the day when I am in trouble; incline thy ear to me: in the day when I call, answer me speedily.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 3] For my days are consumed like smoke, and my bones are burned as an hearth.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 4] My heart is smitten, and withered like grass; so that I forget to eat my bread.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 5] By reason of the voice of my groaning, my bones cleave to my skin.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 6] I am like a pelican of the wilderness: I am like an owl of the desert.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 7] I watch, and am as a sparrow alone upon the house top.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 8] My enemies reproach me all the day; and they that are enraged against me are sworn against me.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 9] For I have eaten ashes like bread, and mingled my drink with weeping,
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 10] Because of thy indignation and thy wrath: for thou hast lifted me up, and cast me down.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 11] My days are like a shadow that declineth; and I am withered like grass.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 12] But thou, O LORD, shalt endure for ever; and thy remembrance to all generations.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 13] Thou shalt arise, and have mercy upon Zion: for the time to favor her, yes, the set time, is come.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 14] For thy servants take pleasure in her stones, and favor the dust thereof.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 15] So the heathen shall fear the name of the LORD: and all the kings of the earth thy glory.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 16] When the LORD shall build up Zion, he will appear in his glory.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 17] He will regard the prayer of the destitute, and not despise their prayer.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 18] This shall be written for the generation to come: and the people which shall be created shall praise the LORD.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 19] For he hath looked down from the hight of his sanctuary; from heaven hath the LORD beheld the earth;
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 20] To hear the groaning of the prisoner; to loose those that are appointed to death;
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 21] To declare the name of the LORD in Zion, and his praise in Jerusalem;
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 22] When the people are assembled, and the kingdoms, to serve the LORD.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 23] He weakened my strength in the way; he shortened my days.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 24] I said, O my God, take me not away in the midst of my days: thy years are throughout all generations.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 25] Of old hast thou laid the foundation of the earth: and the heavens are the work of thy hands.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 26] They shall perish, but thou wilt endure: yes, all of them shall grow old like a garment; as a vesture wilt thou change them, and they shall be changed:
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 27] But thou art the same, and thy years will have no end.
[WEBSTER | EN | OT | Psalms | Chapter 102 | Verse 28] The children of thy servants shall continue, and their seed shall be established before thee.
