[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 1] Not to us, O LORD, not to us, but to thy name give glory, for thy mercy, and for thy truth's sake.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 2] Why should the heathen say, Where is now their God?
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 3] But our God is in the heavens: he hath done whatever he pleased.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 4] Their idols are silver and gold; the work of men's hands.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 5] They have mouths, but they speak not: eyes have they, but they see not:
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 6] They have ears, but they hear not: noses have they, but they smell not:
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 7] They have hands, but they handle not: feet have they, but they walk not: neither speak they through their throat.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 8] They that make them are like them; so is every one that trusteth in them.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 9] O Israel, trust thou in the LORD: he is their help and their shield.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 10] O house of Aaron, trust in the LORD: he is their help and their shield.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 11] Ye that fear the LORD, trust in the LORD: he is their help and their shield.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 12] The LORD hath been mindful of us: he will bless us ; he will bless the house of Israel; he will bless the house of Aaron.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 13] He will bless them that fear the LORD, both small and great.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 14] The LORD will increase you more and more, you and your children.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 15] Ye are blessed of the LORD who made heaven and earth.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 16] The heaven, even the heavens, are the LORD'S: but the earth hath he given to the children of men.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 17] The dead praise not the LORD, neither any that go down into silence.
[WEBSTER | EN | OT | Psalms | Chapter 115 | Verse 18] But we will bless the LORD from this time forth and for ever. Praise the LORD.
