[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 1] To the chief Musician, A Psalm of David. Blessed is he that considereth the poor: the LORD will deliver him in the time of trouble.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 2] The LORD will preserve him, and keep him alive; and he shall be blessed upon the earth: and thou wilt not deliver him to the will of his enemies.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 3] The LORD will strengthen him upon the bed of languishing: thou wilt make all his bed in his sickness.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 4] I said, LORD, be merciful to me: heal my soul; for I have sinned against thee.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 5] My enemies speak evil of me, When shall he die, and his name perish?
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 6] And if he cometh to see me , he speaketh vanity: his heart gathereth iniquity to itself; when he goeth abroad, he telleth it .
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 7] All that hate me whisper together against me: against me do they devise my hurt.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 8] An evil disease, say they , cleaveth fast to him: and now that he lieth he shall rise no more.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 9] Yes, my own familiar friend, in whom I trusted, who ate of my bread, hath lifted up his heel against me.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 10] But thou, O LORD, be merciful to me, and raise me up, that I may requite them.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 11] By this I know that thou favorest me, because my enemy doth not triumph over me.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 12] And as for me, thou upholdest me in my integrity, and settest me before thy face for ever.
[WEBSTER | EN | OT | Psalms | Chapter 41 | Verse 13] Blessed be the LORD God of Israel from everlasting, and to everlasting. Amen, and amen.
