[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 1] To the chief Musician, Al-taschith, Michtam of David; when Saul sent, and they watched the house to kill him. Deliver me from my enemies, O my God: defend me from them that rise up against me.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 2] Deliver me from the workers of iniquity, and save me from bloody men.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 3] For lo, they lie in wait for my soul: the mighty are gathered against me; not for my transgression, nor for my sin, O LORD.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 4] They run and prepare themselves without my fault: awake to help me, and behold.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 5] Thou therefore, O LORD God of hosts, the God of Israel, awake to visit all the heathen: be not merciful to any wicked transgressors. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 6] They return at evening: they make a noise like a dog, and go about the city.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 7] Behold, they belch out with their mouth: swords are in their lips: for who, say they , doth hear?
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 8] But thou, O LORD, shalt laugh at them; thou shalt have all the heathen in derision.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 9] Because of his strength will I wait upon thee: for God is my defense.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 10] The God of my mercy will succor me: God will let me see my desire upon my enemies.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 11] Slay them not, lest my people forget: scatter them by thy power; and bring them down, O LORD our shield.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 12] For the sin of their mouth and the words of their lips let them even be taken in their pride: and for cursing and lying which they speak.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 13] Consume them in wrath, consume them , that they may not be : and let them know that God ruleth in Jacob to the ends of the earth. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 14] And at evening let them return; and let them make a noise like a dog, and go about the city.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 15] Let them wander up and down for food, and grudge if they are not satisfied.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 16] But I will sing of thy power; yes, I will sing aloud of thy mercy in the morning: for thou hast been my defense and refuge in the day of my trouble.
[WEBSTER | EN | OT | Psalms | Chapter 59 | Verse 17] To thee, O my strength, will I sing: for God is my defense, and the God of my mercy.
