[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 1] A Song and Psalm for the sons of Korah. Great is the LORD, and greatly to be praised in the city of our God, in the mountain of his holiness.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 2] Beautiful for situation, the joy of the whole earth, is mount Zion, on the sides of the north, the city of the great King.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 3] God is known in her palaces for a refuge.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 4] For lo, the kings were assembled, they passed by together.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 5] They saw it , and so they wondered; they were troubled, and hasted away.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 6] Fear took hold upon them there, and pain, as of a woman in travail.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 7] Thou breakest the ships of Tarshish with an east wind.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 8] As we have heard, so have we seen in the city of the LORD of hosts, in the city of our God: God will establish it for ever. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 9] We have thought of thy loving-kindness, O God, in the midst of thy temple.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 10] According to thy name, O God, so is thy praise to the ends of the earth: thy right hand is full of righteousness.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 11] Let mount Zion rejoice, let the daughters of Judah be glad, because of thy judgments.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 12] Walk about Zion, and go round her: number her towers.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 13] Mark ye well her bulwarks, consider her palaces; that ye may tell it to the generation following.
[WEBSTER | EN | OT | Psalms | Chapter 48 | Verse 14] For this God is our God for ever and ever: he will be our guide even to death.
