[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 1] To the chief Musician upon Gittith, A Psalm of Asaph. Sing aloud to God our strength: make a joyful noise to the God of Jacob.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 2] Take a psalm, and bring hither the timbrel, the pleasant harp with the psaltery.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 3] Blow the trumpet in the new moon, in the time appointed, on our solemn feast day.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 4] For this was a statute for Israel, and a law of the God of Jacob.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 5] This he ordained in Joseph for a testimony, when he went out through the land of Egypt: where I heard a language that I understood not.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 6] I removed his shoulder from the burden: his hands were delivered from the pots.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 7] Thou calledst in trouble, and I delivered thee; I answered thee in the secret place of thunder: I proved thee at the waters of Meribah. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 8] Hear, O my people, and I will testify to thee; O Israel, if thou wilt hearken to me;
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 9] There shall no strange god be in thee; neither shalt thou worship any strange god.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 10] I am the LORD thy God who brought thee out of the land of Egypt: open thy mouth wide, and I will fill it.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 11] But my people would not hearken to my voice; and Israel would not obey me.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 12] So I gave them up to their own hearts lust: and they walked in their own counsels.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 13] O that my people had hearkened to me, and Israel had walked in my ways!
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 14] I should soon have subdued their enemies, and turned my hand against their adversaries.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 15] The haters of the LORD should have submitted themselves to him: and their time should have endured for ever.
[WEBSTER | EN | OT | Psalms | Chapter 81 | Verse 16] He would have fed them also with the finest of the wheat: and with honey out of the rock I should have satisfied thee.
