[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 1] Praise ye the LORD. Praise ye the LORD from the heavens: praise him in the hights.
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 2] Praise ye him, all his angels: praise ye him, all his hosts.
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 3] Praise ye him, sun and moon: praise him, all ye stars of light.
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 4] Praise him, ye heavens of heavens, and ye waters that are above the heavens.
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 5] Let them praise the name of the LORD: for he commanded, and they were created.
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 6] He hath also established them for ever and ever: he hath made a decree which shall not pass.
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 7] Praise the LORD from the earth, ye dragons, and all deeps:
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 8] Fire, and hail; snow, and vapors; stormy wind fulfilling his word:
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 9] Mountains, and all hills; fruitful trees, and all cedars:
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 10] Beasts, and all cattle; creeping animals, and flying fowl:
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 11] Kings of the earth, and all people; princes, and all judges of the earth:
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 12] Both young men, and maidens; old men, and children:
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 13] Let them praise the name of the LORD: for his name alone is excellent; his glory is above the earth and heaven.
[WEBSTER | EN | OT | Psalms | Chapter 148 | Verse 14] He also exalteth the horn of his people, the praise of all his saints; even of the children of Israel, a people near to him. Praise ye the LORD.
