[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 1] A Psalm of David. To thee, O LORD, do I lift up my soul.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 2] O my God, I trust in thee: let me not be ashamed, let not my enemies triumph over me,
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 3] Also, let none that wait on thee be ashamed: let them be ashamed who transgress without cause.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 4] Show me thy ways, O LORD; teach me thy paths.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 5] Lead me in thy truth, and teach me: for thou art the God of my salvation; on thee do I wait all the day.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 6] Remember, O LORD, thy tender mercies and thy loving kindnesses; for they have been ever of old.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 7] Remember not the sins of my youth, nor my transgressions: according to thy mercy remember thou me for thy goodness' sake, O LORD.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 8] Good and upright is the LORD: therefore will he teach sinners in the way.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 9] The meek will he guide in judgment: and the meek will he teach his way.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 10] All the paths of the LORD are mercy and truth to such as keep his covenant and his testimonies.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 11] For thy name's sake, O LORD, pardon my iniquity; for it is great.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 12] What man is he that feareth the LORD? him shall he teach in the way that he shall choose.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 13] His soul shall dwell at ease; and his seed shall inherit the earth.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 14] The secret of the LORD is with them that fear him; and he will show them his covenant.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 15] My eyes are ever towards the LORD; for he will pluck my feet out of the net.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 16] Turn thee to me, and have mercy upon me; for I am desolate and afflicted.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 17] The troubles of my heart are enlarged: O bring thou me out of my distresses.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 18] Look upon my affliction and my pain; and forgive all my sins.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 19] Consider my enemies, for they are many; and they hate me with cruel hatred.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 20] O keep my soul, and deliver me: let me not be ashamed; for I put my trust in thee.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 21] Let integrity and uprightness preserve me; for I wait on thee.
[WEBSTER | EN | OT | Psalms | Chapter 25 | Verse 22] Redeem Israel, O God, out of all his troubles.
