[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 1] To the chief Musician, to Jeduthun, A Psalm of David. Truly my soul waiteth upon God: from him cometh my salvation.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 2] He only is my rock and my salvation; he is my defense; I shall not be greatly moved.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 3] How long will ye imagine mischief against a man? ye shall be slain all of you: as a bowing wall shall ye be , and as a tottering fence.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 4] They only consult to cast him down from his excellence: they delight in lies: they bless with their mouth, but they curse inwardly. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 5] My soul, wait thou only upon God; for my expectation is from him.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 6] He only is my rock and my salvation: he is my defense; I shall not be moved.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 7] In God is my salvation and my glory: the rock of my strength, and my refuge, is in God.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 8] Trust in him at all times; ye people, pour out your heart before him: God is a refuge for us. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 9] Surely men of low degree are vanity, and men of high degree are a lie: to be laid in the balance, they are altogether lighter than vanity.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 10] Trust not in oppression, and become not vain in robbery: if riches increase, set not your heart upon them .
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 11] God hath spoken once; twice have I heard this; that power belongeth to God.
[WEBSTER | EN | OT | Psalms | Chapter 62 | Verse 12] Also to thee, O LORD, belongeth mercy: for thou renderest to every man according to his work.
