[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 1] A Psalm of David. Plead my cause , O LORD, with them that strive with me: fight against them that fight against me.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 2] Take hold of shield and buckler, and stand up for my help.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 3] Draw out also the spear, and stop the way against them that persecute me: say to my soul, I am thy salvation.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 4] Let them be confounded and put to shame that seek after my soul: let them be turned back and brought to confusion that devise my hurt.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 5] Let them be as chaff before the wind: and let the angel of the LORD chase them .
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 6] Let their way be dark and slippery: and let the angel of the LORD persecute them.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 7] For without cause they have hid for me their net in a pit, which without cause they have digged for my soul.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 8] Let destruction come upon him at unawares; and let his net that he hath hid catch himself: into that very destruction let him fall.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 9] And my soul shall be joyful in the LORD: it shall rejoice in his salvation.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 10] All my bones shall say, LORD, who is like thee, who deliverest the poor from him that is too strong for him, even the poor and the needy from him that spoileth him?
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 11] False witnesses arose; they laid to my charge things that I knew not.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 12] They rewarded me evil for good to the spoiling of my soul.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 13] But as for me, when they were sick, my clothing was sackcloth: I humbled my soul with fasting; and my prayer returned into my own bosom.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 14] I behaved myself as though he had been my friend or brother: I bowed down heavily, as one that mourneth for his mother.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 15] But in my adversity they rejoiced, and assembled themselves: yes , the abjects assembled themselves against me, and I knew it not; they did tear me , and ceased not:
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 16] With hypocritical mockers in feasts, they gnashed upon me with their teeth.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 17] LORD, how long wilt thou look on? rescue my soul from their destructions, my darling from the lions.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 18] I will give thee thanks in the great congregation: I will praise thee among many people.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 19] Let not them that are my enemies wrongfully rejoice over me: neither let them wink with the eye that hate me without a cause.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 20] For they speak not peace: but they devise deceitful matters against them that are quiet in the land.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 21] Yes, they opened their mouth wide against me, and said, Aha, aha, our eye hath seen it .
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 22] This thou hast seen, O LORD: keep not silence: O LORD, be not far from me.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 23] Stir up thyself, and awake to my judgment, even to my cause, my God and my LORD.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 24] Judge me, O LORD my God, according to thy righteousness; and let them not rejoice over me.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 25] Let them not say in their hearts, Ah, so would we have it: let them not say, We have swallowed him up.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 26] Let them be ashamed and brought to confusion together that rejoice at my hurt: let them be clothed with shame and dishonor that magnify themselves against me.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 27] Let them shout for joy, and be glad, that favor my righteous cause: yes, let them say continually, Let the LORD be magnified, who hath pleasure in the prosperity of his servant.
[WEBSTER | EN | OT | Psalms | Chapter 35 | Verse 28] And my tongue shall speak of thy righteousness and of thy praise all the day long.
