[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 1] O give thanks to the LORD; for he is good: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 2] O give thanks to the God of gods: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 3] O give thanks to the LORD of lords: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 4] To him who alone doeth great wonders: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 5] To him that by wisdom made the heavens: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 6] To him that stretched out the earth above the waters: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 7] To him that made great lights: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 8] The sun to rule by day: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 9] The moon and stars to rule by night: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 10] To him that smote Egypt in their first-born: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 11] And brought out Israel from among them: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 12] With a strong hand, and with an out-stretched arm: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 13] To him who divided the Red sea into parts: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 14] And made Israel to pass through the midst of it: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 15] But overthrew Pharaoh and his army in the Red sea: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 16] To him who led his people through the wilderness: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 17] To him who smote great kings: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 18] And slew famous kings: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 19] Sihon king of the Amorites: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 20] And Og king of Bashan: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 21] And gave their land for a heritage: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 22] Even a heritage to Israel his servant: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 23] Who remembered us in our low estate: for his mercy endureth for ever:
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 24] And hath redeemed us from our enemies: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 25] Who giveth food to all flesh: for his mercy endureth for ever.
[WEBSTER | EN | OT | Psalms | Chapter 136 | Verse 26] O give thanks to the God of heaven: for his mercy endureth for ever.
