[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 1] A Psalm of Asaph. Truly God is good to Israel, even to such as are of a clean heart.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 2] But as for me, my feet were almost gone; my steps had well nigh slipped.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 3] For I was envious at the foolish, when I saw the prosperity of the wicked.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 4] For there are no bands in their death: but their strength is firm.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 5] They are not in trouble as other men; neither are they afflicted like other men.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 6] Therefore pride encompasseth them as a chain; violence covereth them as a garment.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 7] Their eyes stand out with fatness: they have more than heart could wish.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 8] They are corrupt, and speak wickedly concerning oppression: they speak loftily.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 9] They set their mouth against the heavens, and their tongue walketh through the earth.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 10] Therefore his people return hither: and waters of a full cup are wrung out to them.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 11] And they say, How doth God know? and is there knowledge in the Most High?
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 12] Behold, these are the ungodly, who prosper in the world; they increase in riches.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 13] Verily I have cleansed my heart in vain, and washed my hands in innocence.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 14] For all the day long have I been afflicted, and chastened every morning.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 15] If I say, I will speak thus; behold, I should offend against the generation of thy children.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 16] When I thought to know this, it was too painful for me;
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 17] Until I went into the sanctuary of God; then I understood their end.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 18] Surely thou didst set them in slippery places: thou didst cast them down into destruction.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 19] How are they brought into desolation, as in a moment! they are utterly consumed with terrors.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 20] As a dream when one awaketh; so , O LORD, when thou awakest, thou wilt despise their image.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 21] Thus my heart was grieved, and I was pricked in my reins.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 22] So foolish was I, and ignorant: I was as a beast before thee.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 23] Nevertheless I am continually with thee: thou hast held me by my right hand.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 24] Thou wilt guide me with thy counsel, and afterward receive me to glory.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 25] Whom have I in heaven but thee ? and there is none upon earth that I desire besides thee.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 26] My flesh and my heart faileth: but God is the strength of my heart, and my portion for ever.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 27] For lo, they that are far from thee shall perish: thou hast destroyed all them that go astray from thee.
[WEBSTER | EN | OT | Psalms | Chapter 73 | Verse 28] But it is good for me to draw near to God: I have put my trust in the Lord GOD, that I may declare all thy works.
