[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 1] To the chief Musician, to Jeduthun, A Psalm of Asaph. I cried to God with my voice, even to God with my voice; and he gave ear to me.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 2] In the day of my trouble I sought the LORD: my sore ran in the night, and ceased not: my soul refused to be comforted.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 3] I remembered God, and was troubled: I complained, and my spirit was overwhelmed. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 4] Thou holdest my eyes waking: I am so troubled that I cannot speak.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 5] I have considered the days of old, the years of ancient times.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 6] I call to remembrance my song in the night: I commune with my own heart: and my spirit made diligent search.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 7] Will the LORD cast off for ever? and will he be favorable no more?
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 8] Is his mercy wholly gone for ever? doth his promise fail for evermore?
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 9] Hath God forgotten to be gracious? hath he in anger shut up his tender mercies? Selah.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 10] And I said, This is my infirmity: but I will remember the years of the right hand of the Most High.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 11] I will remember the works of the LORD: surely I will remember thy wonders of old.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 12] I will meditate also of all thy work, and talk of thy doings.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 13] Thy way, O God, is in the sanctuary: who is so great a God as our God!
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 14] Thou art the God that doest wonders: thou hast declared thy strength among the people.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 15] Thou hast with thy arm redeemed thy people, the sons of Jacob and Joseph. Selah.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 16] The waters saw thee, O God, the waters saw thee; they were afraid: the depths also were disturbed.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 17] The clouds poured out water: the skies sent out a sound: thy arrows also went abroad.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 18] The voice of thy thunder was in the heaven: the lightnings lightened the world: the earth trembled and shook.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 19] Thy way is in the sea, and thy path in the great waters, and thy footsteps are not known.
[WEBSTER | EN | OT | Psalms | Chapter 77 | Verse 20] Thou leddest thy people like a flock by the hand of Moses and Aaron.
