[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 1] A Psalm of David. Judge me, O LORD; for I have walked in my integrity: I have trusted also in the LORD; therefore I shall not slide.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 2] Examine me, O LORD, and prove me; try my reins and my heart.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 3] For thy loving-kindness is before my eyes: and I have walked in thy truth.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 4] I have not sat with vain persons, neither will I go in with dissemblers.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 5] I have hated the congregation of evil doers; and will not sit with the wicked.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 6] I will wash my hands in innocence: so will I compass thy altar, O LORD:
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 7] That I may publish with the voice of thanksgiving, and tell of all thy wondrous works.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 8] LORD, I have loved the habitation of thy house, and the place where thy honor dwelleth.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 9] Gather not my soul with sinners, nor my life with bloody men:
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 10] In whose hands is mischief, and their right hand is full of bribes.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 11] But as for me, I will walk in my integrity: redeem me, and be merciful to me.
[WEBSTER | EN | OT | Psalms | Chapter 26 | Verse 12] My foot standeth in an even place: in the congregations will I bless the LORD.
